ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENMO10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,HEALTHFAM,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,RELIGN10,STIMULUS,TEAPARTY,TEAREAS,TIMESEN10,TRACK,UNFAIRMO10,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,REL5,WHITEREL,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,UNFAIRCARN,UNFAIRBLUNT,WHNCLINC,WHTEVANG,XTEAPARTYID,BLUNTTOOLONG,CARNTOOCLOSE,PRINCIPLES,TAXCUTS10,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
869863.0,Missouri,29.0,Call 1,Complete,Election day exit poll,0.822317838668823,Robin Carnahan,Female,White,65 or over,,,,High school graduate,No,,No,,,,,,Omit,,,Omit,,,,Strongly approve,,Understands the needs of people like me,,Omit,,,,Omit,,,Omit,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Women without children,Omit,,,Approve,,,,,White,,,,,,,,,,All others,,,,,Omit,State questionnaire,Suburbs,Suburbs,9.0,2.0,Midwest,Version 3,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,63090.0
910516.0,Missouri,2.0,Call 3,Complete,Election day exit poll,0.832932472229004,Robin Carnahan,Female,White,60-64,,Liberal,,Postgraduate study,No,,No,,,,,,"Satisfied, but not enthusiastic",,,You will be better off,,,,Strongly approve,,Can bring needed change,,Helped the economy,,,,Seriously off on the wrong track,,,Omit,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Women without children,Positive,,,Approve,,,,,White,,,,,,,,,,All others,,,,,"Continue them only for families who earn less than $250,000 a year",State questionnaire,"Cities 50,000-500,000","Cities over 50,000",9.0,4.0,Midwest,Version 3,Low Density Rural,Urban,Urban Core,Upscale,0.0
911851.0,Missouri,81.0,Call 3,Complete,Election day exit poll,1.56901729106903,Other,Female,Black,50-59,,,,Some college/assoc. degree,No,Yes,No,,,,,,"Dissatisfied, but not angry",,,Omit,,,,Somewhat disapprove,,Omit,,Made no difference,,,,Seriously off on the wrong track,,,Omit,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,Women without children,Negative,,,Disapprove,,,,,Black,,Non-white,,,,,,,,All others,,,,,"Continue them only for families who earn less than $250,000 a year",State questionnaire,Suburbs,Suburbs,1.0,1.0,Midwest,Version 3,Suburb,60s Suburbs,Urban Perimeter,Downscale,63134.0
910390.0,Missouri,50.0,Call 3,Complete,Election day exit poll,1.25152885913849,Roy Blunt,Male,White,18-24,Independent,Moderate,"$50,000-$74,999",Some college/assoc. degree,No,No,No,,,,,,"Satisfied, but not enthusiastic",,,You will be worse off,,,,Omit,,Can bring needed change,Catholic,Hurt the economy,,,,Generally going in the right direction,,,Omit,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Men without children,Positive,,,Omit,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Catholic,Catholic,,,,,,,No,All others,,,,,Continue them for all,State questionnaire,Suburbs,Suburbs,3.0,2.0,Midwest,Version 3,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,63052.0
910369.0,Missouri,14.0,Call 3,Complete,Election day exit poll,1.36378383636475,Roy Blunt,Female,White,50-59,Republican,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,Yes,No,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Strongly disapprove,,Can bring needed change,Catholic,Made no difference,,,,Seriously off on the wrong track,,,Omit,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Women without children,Negative,,,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Catholic,Catholic,,,,,,,No,White Born-again/Evangelical Christians,,,,,Continue them for all,State questionnaire,Suburbs,Suburbs,7.0,5.0,Midwest,Version 3,Suburb,80s Suburbs,Urban Perimeter,Upscale,65714.0
910897.0,Missouri,100.0,Call 3,Complete,Election day exit poll,0.435374051332474,Robin Carnahan,Female,Black,40-44,Democrat,Conservative,,Some college/assoc. degree,No,,,Omit,Favorable,Unfavorable,About the same,Barack Obama was not a factor,"Satisfied, but not enthusiastic",,,,,,,,Spending to create jobs,,,,,The Tea Party movement was not a factor,,,Omit,,Omit,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,No college degree,More than High school graduate,Non white no college degree,,,,,,,Positive,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,,,,,Omit,Omit,,,,Yes,About the right amount,,,State questionnaire,Suburbs,Suburbs,1.0,1.0,Midwest,Version 2,Suburb,60s Suburbs,Urban Perimeter,Downscale,63137.0
890599.0,Missouri,20.0,Call 2,Complete,Election day exit poll,0.909219622612,Roy Blunt,Female,White,30-39,Democrat,Liberal,,Some college/assoc. degree,No,,,I strongly favor my candidate,Favorable,Unfavorable,Worse,To express support for Barack Obama,"Dissatisfied, but not angry",,,,,,,,Spending to create jobs,,,,,Against the Tea Party movement,,,Both of them,,Omit,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,,,,,,,Negative,,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,,,,,,Robin Carnahan did,Roy Blunt did,,,,No,About the right amount,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,3.0,Midwest,Version 2,Suburb,Urban,Urban Core,Very upscale,64119.0
871100.0,Missouri,70.0,Call 1,Complete,Election day exit poll,0.852595567703247,Roy Blunt,Female,White,40-44,Republican,Conservative,,College graduate,No,,,I like my candidate but with reservations,Unfavorable,Favorable,About the same,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,,Reducing the budget deficit,,,,,The Tea Party movement was not a factor,,,Omit,,Omit,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,,,Omit,Omit,,,,No,Too often,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,9.0,4.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Downscale,65270.0
868608.0,Missouri,41.0,Call 1,Complete,Election day exit poll,0.631310522556305,Robin Carnahan,Female,White,30-39,Democrat,Conservative,"$100,000-$199,999",College graduate,No,,,,,,,,,Government should do more to solve problems,,,The economy,,Somewhat worried,Strongly disapprove,,,,,Neutral,,,,,,Didn't vote,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,,The economy,Worried,Disapprove,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,,,Neutral,,,,,No,,Non-Tea Party supporters and Democrats,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,3.0,Midwest,Version 1,High Density Urban,Urban,Urban Core,Downscale,64111.0
910848.0,Missouri,106.0,Call 3,Complete,Election day exit poll,1.8524854183197,Roy Blunt,Male,White,40-44,Independent,Moderate,"$30,000-$49,999",High school graduate,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,The economy,,Somewhat worried,Somewhat disapprove,,,,,Neutral,,,,,,Didn't vote,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,,The economy,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,Neutral,,,,,Yes,,Non-Tea Party supporters and Independents/Something else,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,1.0,Midwest,Version 1,Suburb,Urban,Urban Core,Very downscale,63166.0
889925.0,Missouri,60.0,Call 2,Complete,Election day exit poll,0.796712458133698,Robin Carnahan,Male,White,45-49,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,,,,,,,,,Government should do more to solve problems,,,Health care,,Very worried,Somewhat approve,,,,,Somewhat support,,,,,,Didn't vote,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,,Something else,Worried,Approve,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,,,,Support,,,,,Yes,,Tea Party supporters,,,,,National questionnaire,Suburbs,Suburbs,7.0,5.0,Midwest,Version 1,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,64850.0
910451.0,Missouri,23.0,Call 3,Complete,Election day exit poll,1.4930282831192,Roy Blunt,Female,White,18-24,Independent,Moderate,"$100,000-$199,999",No high school diploma,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,The war in Afghanistan,,Somewhat worried,Somewhat disapprove,,,,,Somewhat support,,,,,,Didn't vote,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,,Something else,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,Support,,,,,No,,Tea Party supporters,,,,,National questionnaire,Suburbs,Suburbs,6.0,3.0,Midwest,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale,64068.0
910352.0,Missouri,55.0,Call 3,Complete,Election day exit poll,0.888611316680908,Roy Blunt,Male,White,50-59,Independent,Moderate,"Under $30,000",High school graduate,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,The economy,,Very worried,Strongly disapprove,,,,,Strongly support,,,,,,Didn't vote,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,,The economy,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,Support,,,,,Yes,,Tea Party supporters,,,,,National questionnaire,Suburbs,Suburbs,4.0,4.0,Midwest,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,64011.0
908746.0,Missouri,91.0,Call 3,Complete,Election day exit poll,0.852179765701294,Roy Blunt,Female,Asian,45-49,Independent,Conservative,"$50,000-$74,999",Postgraduate study,No,,,,,,,,,Government is doing too many things better left to businesses and individuals,,,The war in Afghanistan,,Very worried,Strongly disapprove,,,,,Strongly support,,,,,,Didn't vote,Non black female,All other races,45-65,30-59,45+,45-59,40-49,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,,Something else,Worried,Disapprove,Independent/Something else,Independent Women,All others,Independents/Something else,Asian,,,,Support,,,,,No,,Tea Party supporters,,,,,National questionnaire,Suburbs,Suburbs,2.0,1.0,Midwest,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63011.0
865679.0,Missouri,50004.0,,Complete,Telephone survey,0.0,Robin Carnahan,Female,Asian,30-39,Democrat,,,No high school diploma,No,,,,,,,,,,Repeal it,,,,,,Spending to create jobs,,,Omit,Omit,,,Omit,,,Didn't vote,Non black female,All other races,30-44,30-59,18-44,30-44,30-39,Other,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,Democrat,Democratic Women,Non White Democrats,,Asian,,,,Omit,,,,,,,,,,,,National questionnaire,Rural,Small Cities/Rural,,5.0,Midwest,Version 3,Low Density Rural,Rural,Rural,Very downscale,63857.0
909484.0,Missouri,38.0,Call 3,Complete,Election day exit poll,1.40673065185547,Robin Carnahan,Male,Black,18-24,Democrat,,"$50,000-$74,999",Some college/assoc. degree,No,Yes,Yes,,,,,,"Satisfied, but not enthusiastic",,,You will be better off,,,,Strongly approve,,Has the right experience,Other christian,Helped the economy,,,,Generally going in the right direction,,,Didn't vote,Black male,Black men,18-29,18-29,18-44,18-29,18-24,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Dads - Men with children,Positive,,,Approve,Democrat,Democratic Men,Non White Democrats,,Black,Protestant/Other Non-Catholic Christian,Non-white,,,,,,,No,All others,,,,,Omit,State questionnaire,Suburbs,Suburbs,5.0,3.0,Midwest,Version 3,Suburb,70s Suburbs,Urban Perimeter,Very upscale,64063.0
892438.0,Missouri,28.0,Call 2,Complete,Election day exit poll,0.796712458133698,Robin Carnahan,Male,Hispanic,30-39,Independent,Conservative,"Under $30,000",No high school diploma,Yes,No,Yes,,,,,,"Dissatisfied, but not angry",,,You will be better off,,,,Somewhat approve,,Can bring needed change,Catholic,Made no difference,,,,Seriously off on the wrong track,,,Didn't vote,Non black male,Latino men,30-44,30-59,18-44,30-44,30-39,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Dads - Men with children,Negative,,,Approve,Independent/Something else,Independent Men,All others,Independents/Something else,Hispanic/Latino,Catholic,Non-white,,,,,,,No,All others,,,,,Let them expire for all,State questionnaire,Rural,Small Cities/Rural,8.0,5.0,Midwest,Version 3,Low Density Rural,Rural,Rural,Very downscale,63857.0
910054.0,Missouri,38.0,Call 3,Complete,Election day exit poll,1.37197184562683,Roy Blunt,Female,White,18-24,Independent,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,No,Yes,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Somewhat approve,,Has the right experience,Catholic,Hurt the economy,,,,Generally going in the right direction,,,Didn't vote,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Moms - Women with children,Negative,,,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Catholic,Catholic,,,,,,,Yes,All others,,,,,Let them expire for all,State questionnaire,Suburbs,Suburbs,5.0,3.0,Midwest,Version 3,Suburb,70s Suburbs,Urban Perimeter,Very upscale,64063.0
