ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENCA10,GOVCA10,CAPROP19,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,TEAPARTY,TEAREAS,TIMESEN10,TRACK,UNFAIRCA10,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,TIMESENMTH10,TIMESENWK10,UNFAIRBOXER,UNFAIRFIORINA,WHNCLINC,XTEAPARTYID,BALLOTDRAW,CADEFCT,IMMDEPORT,JOBSCAL,OUTSIDER,UNFAIRCA10G,JOBSBOXER,JOBSFIORINA,UNFAIRBROWN,UNFAIRWHIT,WRKWOMEN,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
863063.0,California,50173.0,,Complete,Telephone survey,3.52999997138977,Barbara Boxer,Jerry Brown,No,Female,Black,65 or over,Democrat,Moderate,"Under $30,000",Some college/assoc. degree,No,,,,,,,,,,,,,,Has the right experience,,,,Generally going in the right direction,,Obama,,Black female,Black women,65+,60+,45+,60+,65+,Black 65+,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,,,,No,,Governor,,Offered a chance to apply for legal status,Only Barbara Boxer,An insider who knows how to get things done,Both of them,Barbara Boxer will,Carly Fiorina will not,Jerry Brown did,Meg Whitman did,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",35.0,4.0,West,Version 3,Suburb,Urban,Urban Core,Very upscale,90045.0
862622.0,California,50148.0,,Complete,Telephone survey,1.75,Barbara Boxer,Jerry Brown,Yes,Female,White,60-64,Democrat,Liberal,"$50,000-$74,999",Postgraduate study,No,,,,,,,Government should do more to solve problems,Leave it as is,The economy,No,Very worried,Somewhat disapprove,,,Strongly oppose,,Before that,,,,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,The economy,Worried,Disapprove,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,Before that,In the last month or earlier,,,No,Non-Tea Party supporters and Democrats,,Omit,,,,,,,,,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",30.0,4.0,West,Version 1,Suburb,Urban,Urban Core,Very upscale,90049.0
862836.0,California,50148.0,,Complete,Telephone survey,0.920000016689301,Barbara Boxer,Jerry Brown,Yes,Female,White,60-64,Independent,Moderate,,College graduate,No,I like my candidate but with reservations,Unfavorable,Unfavorable,About the same,Barack Obama was not a factor,Angry,,,,,,,Spending to create jobs,,,Against the Tea Party movement,,,Both of them,Obama,Yes,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,Barbara Boxer did,Carly Fiorina did,,,,,,,,,,,,,Working women,State questionnaire,English,"Cities over 500,000","Cities over 50,000",30.0,4.0,West,Version 2,Suburb,Urban,Urban Core,Very upscale,90272.0
863125.0,California,50178.0,,Complete,Telephone survey,4.51000022888184,Barbara Boxer,Jerry Brown,No,Male,White,50-59,Democrat,Liberal,"$75,000-$99,999",College graduate,No,,,,,,,,,,,,,,Understands the needs of people like me,,,,Seriously off on the wrong track,,Obama,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,,,,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,,,,,,No,,Governor,,Omit,Only Barbara Boxer,An insider who knows how to get things done,Both of them,Barbara Boxer will,Carly Fiorina will not,Jerry Brown did,Meg Whitman did,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",36.0,4.0,West,Version 3,Extremely High Density Urban,Urban,Urban Core,Very upscale,90292.0
863158.0,California,50133.0,,Complete,Telephone survey,1.4099999666214,Barbara Boxer,Jerry Brown,No,Female,White,65 or over,Republican,Conservative,"$75,000-$99,999",High school graduate,No,,,,,,,,,,,,,,Can bring needed change,,,,Seriously off on the wrong track,,McCain,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,,No,,Governor,,Deported to the country they came from,Only Barbara Boxer,Omit,Neither of them,Barbara Boxer will,Carly Fiorina will not,Jerry Brown did not,Meg Whitman did not,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",27.0,4.0,West,Version 3,Suburb,Urban,Urban Core,Very upscale,91344.0
865534.0,California,50003.0,,Complete,Telephone survey,2.33999991416931,Barbara Boxer,Jerry Brown,Yes,Male,White,45-49,Democrat,Moderate,,High school graduate,No,,,,,,,,Omit,,,,,Spending to create jobs,,Somewhat oppose,,,Generally going in the right direction,,Obama,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,,,,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Oppose,,,,,,Non-Tea Party supporters and Democrats,,,,,,,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",,4.0,West,Version 3,Suburb,Urban,Urban Core,Very upscale,91344.0
864755.0,California,50133.0,,Complete,Telephone survey,2.48000001907349,Barbara Boxer,Jerry Brown,Yes,Male,White,65 or over,Democrat,Liberal,"Under $30,000",College graduate,No,,,,,,,Government should do more to solve problems,,The economy,,Somewhat worried,Strongly approve,,,Strongly oppose,,,,,Obama,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,The economy,Worried,Approve,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Oppose,,,,,No,Non-Tea Party supporters and Democrats,,,,,,,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",27.0,4.0,West,Version 1,Suburb,Urban,Urban Core,Very upscale,91344.0
865184.0,California,50133.0,,Complete,Telephone survey,2.82999992370605,Barbara Boxer,Jerry Brown,Yes,Female,White,60-64,Independent,,,High school graduate,No,,,,About the same,,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,,,,,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Positive,The economy,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,,,,,,,,,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",27.0,4.0,West,Version 2,Suburb,Urban,Urban Core,Very upscale,91344.0
862949.0,California,50148.0,,Complete,Telephone survey,1.21000003814697,Barbara Boxer,Jerry Brown,No,Female,White,25-29,Republican,Liberal,,College graduate,No,I dislike the other candidate,Favorable,Unfavorable,About the same,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,Spending to create jobs,,,The Tea Party movement was not a factor,,,Neither of them,Obama,Yes,Non black female,White women,18-29,18-29,18-44,18-29,25-29,White 18-29,College graduate,More than High school graduate,White college degree,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,Barbara Boxer did not,Carly Fiorina did not,,,,,,,,,,,,,Working women,State questionnaire,English,"Cities over 500,000","Cities over 50,000",30.0,4.0,West,Version 2,High Density Urban,Urban,Urban Core,Very upscale,91367.0
862609.0,California,50148.0,,Complete,Telephone survey,5.71000003814697,Carly Fiorina,Meg Whitman,No,Male,Hispanic,45-49,Republican,Moderate,"$100,000-$199,999",Postgraduate study,Yes,,,,,,,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,No,Very worried,Strongly disapprove,,,Somewhat support,,Before that,,,,,Non black male,Latino men,45-65,30-59,45+,45-59,40-49,Latino 45-54,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,,The economy,Worried,Disapprove,Republican,Republican Men,All others,Moderate/Liberal Republicans,Hispanic/Latino,Support,Before that,In the last month or earlier,,,No,Tea Party supporters,,No,,,,,,,,,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",30.0,4.0,West,Version 1,High Density Urban,Urban,Urban Core,Very upscale,91367.0
