ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENIN10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,SENCNTL,STIMULUS,TEAPARTY,TIMESEN10,TRACK,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,WHTEVANG,XTEAPARTYID,ABORTION,ABORT2,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
886708.0,Indiana,61.0,Call 2,Not complete,Election day exit poll,1.29909515380859,,Male,White,50-59,,,,,No,,,,,,,,,,,,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,,,,,,,,,,,,,,,,,White,,,,,,,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,Midwest,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,46410.0
884791.0,Indiana,30.0,Call 2,Complete,Election day exit poll,0.769516289234161,,Female,White,60-64,Republican,Liberal,,No high school diploma,No,,,,,Worse,,Angry,,,Health care,,,,,,,,,,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Negative,Something else,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,,,,,,National questionnaire,Rural,Small Cities/Rural,5.0,2.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Downscale,46991.0
867475.0,Indiana,8.0,Call 1,Complete,Election day exit poll,0.759470999240875,,Male,White,50-59,Independent,Conservative,"$30,000-$49,999",College graduate,No,,,,,Worse,,"Dissatisfied, but not angry",,,The economy,,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Negative,The economy,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,No,,,,,National questionnaire,Suburbs,Suburbs,4.0,4.0,Midwest,Version 2,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,46052.0
867825.0,Indiana,85.0,Call 1,Complete,Election day exit poll,0.649547576904297,,Male,White,50-59,Independent,,,Postgraduate study,No,,,,,Omit,,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Positive,The economy,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,,,,,National questionnaire,Suburbs,Suburbs,9.0,5.0,Midwest,Version 2,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,47468.0
884705.0,Indiana,30.0,Call 2,Complete,Election day exit poll,0.775194048881531,,Male,White,65 or over,Independent,Conservative,"Under $30,000",High school graduate,No,,,,,Worse,,"Dissatisfied, but not angry",,,Illegal immigration,,,,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Negative,Something else,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,Yes,,,,,National questionnaire,Rural,Small Cities/Rural,5.0,2.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Downscale,46991.0
882912.0,Indiana,85.0,Call 2,Complete,Election day exit poll,0.658138930797577,,Female,White,65 or over,Republican,Conservative,"$30,000-$49,999",College graduate,No,No,,Unfavorable,Favorable,,,,,,,No,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,No,All others,,,,National questionnaire,Suburbs,Suburbs,9.0,5.0,Midwest,Version 4,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,47468.0
869678.0,Indiana,30.0,Call 1,Complete,Election day exit poll,0.769516289234161,,Female,White,65 or over,Republican,Moderate,,Postgraduate study,No,Yes,,Unfavorable,Favorable,,,,,,,No,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,,White Born-again/Evangelical Christians,,,,National questionnaire,Rural,Small Cities/Rural,5.0,2.0,Midwest,Version 4,Low Density Rural,Rural,Rural,Downscale,46991.0
886253.0,Indiana,61.0,Call 2,Complete,Election day exit poll,1.86303865909576,,Female,Black,18-24,Democrat,Liberal,"$30,000-$49,999",High school graduate,No,No,,Favorable,Unfavorable,,,,,,,No,,,,,,,,,,Black female,Black women,18-29,18-29,18-44,18-29,18-24,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,,,,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Black,,,,No,All others,,,,National questionnaire,Suburbs,Suburbs,1.0,1.0,Midwest,Version 4,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,46410.0
868552.0,Indiana,30.0,Call 1,Complete,Election day exit poll,0.775194048881531,Did not vote,Male,White,65 or over,Republican,Conservative,"$100,000-$199,999",Postgraduate study,No,,,,,About the same,,"Dissatisfied, but not angry",,,The economy,,,,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Negative,The economy,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,,No,,,,,National questionnaire,Rural,Small Cities/Rural,5.0,2.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Downscale,46991.0
900260.0,Indiana,3.0,Call 3,Complete,Election day exit poll,1.00008249282837,Did not vote,Female,White,30-39,Republican,Conservative,,Postgraduate study,No,No,,Unfavorable,Favorable,,,,,,,Yes,,,,,,,,,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,All others,,,,National questionnaire,Suburbs,Suburbs,3.0,2.0,Midwest,Version 4,Suburb,80s Suburbs,Urban Perimeter,Upscale,46818.0
