ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENOR10,GOVOR10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,TEAPARTY,TRACK,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,WHNCLINC,XTEAPARTYID,DUDHONEST,KITZHONEST,HONEST10OR,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
865370.0,Oregon,,,Complete,Telephone survey,1.16999995708466,Ron Wyden,Chris Dudley,Male,White,30-39,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,,,,Better,,Angry,,,The economy,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Negative,The economy,,,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,,Yes,,,,,National questionnaire,Suburbs,Suburbs,5.0,3.0,West,Version 2,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,97361.0
865369.0,Oregon,,,Complete,Telephone survey,0.970000028610229,,Chris Dudley,Male,White,30-39,Republican,Moderate,"$50,000-$74,999",Some college/assoc. degree,,,,Worse,,Angry,,,The economy,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Negative,The economy,,,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,No,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",,4.0,West,Version 2,Low Density Rural,Urban,Urban Core,Upscale,97701.0
865368.0,Oregon,,,Complete,Telephone survey,0.970000028610229,Jim Huffman,Chris Dudley,Male,White,60-64,Republican,Conservative,"$100,000-$199,999",College graduate,,,,Worse,,Angry,,,The economy,,,,,,,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Negative,The economy,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,No,,,,,National questionnaire,Suburbs,Suburbs,1.0,2.0,West,Version 2,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,97229.0
865367.0,Oregon,,,Complete,Telephone survey,1.16999995708466,Ron Wyden,John Kitzhaber,Female,White,65 or over,Democrat,Conservative,"Under $30,000",No high school diploma,,,,About the same,,"Dissatisfied, but not angry",,,Health care,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Negative,Something else,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,Yes,,,,,National questionnaire,Rural,Small Cities/Rural,4.0,4.0,West,Version 2,Low Density Rural,Rural,Rural,Very downscale,97479.0
865366.0,Oregon,,,Complete,Telephone survey,1.16999995708466,Ron Wyden,John Kitzhaber,Male,White,65 or over,Independent,,"Under $30,000",Postgraduate study,,,,Worse,,Angry,,,Omit,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Negative,Omit,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,No,,,,,National questionnaire,Rural,Small Cities/Rural,4.0,4.0,West,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale,97444.0
865365.0,Oregon,,,Complete,Telephone survey,1.16999995708466,Ron Wyden,John Kitzhaber,Female,White,,Democrat,Liberal,"$75,000-$99,999",Some college/assoc. degree,,,,About the same,,"Satisfied, but not enthusiastic",,,The war in Afghanistan,,,,,,,,Non black female,White women,,,,,,,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Positive,Something else,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,No,,,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,3.0,West,Version 2,Suburb,Rural,Rural,Upscale,97322.0
865364.0,Oregon,,,Complete,Telephone survey,1.16999995708466,Ron Wyden,John Kitzhaber,Female,White,50-59,Democrat,Liberal,"$50,000-$74,999",Some college/assoc. degree,,,,About the same,,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Positive,The economy,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,No,,,,,National questionnaire,Rural,Small Cities/Rural,5.0,3.0,West,Version 2,Low Density Rural,Rural,Rural,Very downscale,97394.0
865363.0,Oregon,,,Complete,Telephone survey,1.16999995708466,Ron Wyden,John Kitzhaber,Female,White,50-59,Democrat,Moderate,"$100,000-$199,999",College graduate,,,,About the same,,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Positive,The economy,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,No,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,3.0,West,Version 2,Suburb,Urban,Urban Core,Downscale,97402.0
865362.0,Oregon,,,Complete,Telephone survey,0.970000028610229,Ron Wyden,Chris Dudley,Male,White,65 or over,Republican,Conservative,"$100,000-$199,999",Some college/assoc. degree,,,,About the same,,"Dissatisfied, but not angry",,,Health care,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Negative,Something else,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,No,,,,,National questionnaire,Suburbs,Suburbs,3.0,1.0,West,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,97080.0
865361.0,Oregon,,,Complete,Telephone survey,0.959999978542328,Jim Huffman,Other,Male,White,18-24,Something else,,,Some college/assoc. degree,,,,About the same,,"Dissatisfied, but not angry",,,Illegal immigration,,,,,,,,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,,,,,,Negative,Something else,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,,,National questionnaire,Suburbs,Suburbs,,2.0,West,Version 2,High Density Urban,80s Suburbs,Urban Perimeter,Very upscale,97006.0
