ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENKY10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,DESCRIBS10,FAVDEM2,FAVREP2,FAVPALIN2,FAVROMN2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,HEALTHFAM,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,SENCNTL,TEAPARTY,TEAREAS,TIMESEN10,TRACK,UNFAIRKY10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,UNFAIRCONWAY,UNFAIRPAUL,WHNCLINC,WHTEVANG,XTEAPARTYID,CONWAYGRAY,EXTREMEKY,FAVMCONL,GUNOWNER,OUTSIDER,EXTREMECONWAY,EXTREMEPAUL,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
881250.0,Kentucky,76.0,Call 2,Complete,Election day exit poll,0.80488383769989,Jack Conway,Female,White,50-59,Democrat,,"$30,000-$49,999",High school graduate,,,,,,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Somewhat disapprove,,Understands the needs of people like me,,Neutral,,,Seriously off on the wrong track,,Omit,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,Negative,,,Disapprove,Democrat,Democratic Women,White Democrats,,White,,Neutral,,,,,Yes,,Non-Tea Party supporters and Democrats,Jack Conway,Only Jack Conway,,,An insider who knows how to get things done,Jack Conway is,Rand Paul is not,State questionnaire,Rural,Small Cities/Rural,5.0,1.0,South,Version 3,Low Density Rural,Rural,Rural,Very downscale,40906.0
903050.0,Kentucky,110.0,Call 3,Complete,Election day exit poll,0.822516858577728,Jack Conway,Male,White,45-49,Independent,Moderate,"Under $30,000",College graduate,,,,,,,,,,,"Dissatisfied, but not angry",,,It will not make much difference to you,,,,Strongly disapprove,,Omit,,Somewhat support,,,Seriously off on the wrong track,,Omit,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Negative,,,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,Support,,,,,No,,Tea Party supporters,Trey Grayson,Both of them,,,An outisder who wants to shake things up,Jack Conway is,Rand Paul is,State questionnaire,Rural,Small Cities/Rural,2.0,4.0,South,Version 3,Suburb,Rural,Rural,Very upscale,42104.0
903049.0,Kentucky,110.0,Call 3,Complete,Election day exit poll,0.822516858577728,Jack Conway,Male,White,45-49,Independent,Moderate,"Under $30,000",College graduate,,,,,,,,,,,"Dissatisfied, but not angry",,,It will not make much difference to you,,,,Strongly disapprove,,Omit,,Somewhat support,,,Seriously off on the wrong track,,Omit,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Negative,,,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,Support,,,,,No,,Tea Party supporters,Trey Grayson,Both of them,,,An outisder who wants to shake things up,Jack Conway is,Rand Paul is,State questionnaire,Rural,Small Cities/Rural,2.0,4.0,South,Version 3,Suburb,Rural,Rural,Very upscale,42104.0
900804.0,Kentucky,13.0,Call 3,Complete,Election day exit poll,0.890966951847076,Jack Conway,Female,White,45-49,Democrat,,"Under $30,000",No high school diploma,No,,,,,,,,,,Omit,,,Omit,,,,Strongly approve,,Can bring needed change,,Omit,,,Omit,,Omit,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Omit,,,Approve,Democrat,Democratic Women,White Democrats,,White,,Omit,,,,,Yes,,,Omit,Only Jack Conway,,,An insider who knows how to get things done,Jack Conway is,Rand Paul is not,State questionnaire,Rural,Small Cities/Rural,1.0,4.0,South,Version 3,Extremely Low Density Rural,Rural,Rural,Downscale,42445.0
881248.0,Kentucky,76.0,Call 2,Complete,Election day exit poll,0.80488383769989,Jack Conway,Female,White,50-59,Democrat,,"$30,000-$49,999",High school graduate,,,,,,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Somewhat disapprove,,Understands the needs of people like me,,Neutral,,,Seriously off on the wrong track,,Omit,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,Negative,,,Disapprove,Democrat,Democratic Women,White Democrats,,White,,Neutral,,,,,Yes,,Non-Tea Party supporters and Democrats,Jack Conway,Only Jack Conway,,,An insider who knows how to get things done,Jack Conway is,Rand Paul is not,State questionnaire,Rural,Small Cities/Rural,5.0,1.0,South,Version 3,Low Density Rural,Rural,Rural,Very downscale,40906.0
880922.0,Kentucky,13.0,Call 2,Complete,Election day exit poll,0.890966951847076,Jack Conway,Female,White,45-49,Democrat,Conservative,"$50,000-$74,999",Some college/assoc. degree,No,,,,,,,,,,"Dissatisfied, but not angry",,,It will not make much difference to you,,,,Somewhat disapprove,,Can bring needed change,,Neutral,,,Seriously off on the wrong track,,Omit,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Negative,,,Disapprove,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,Neutral,,,,,No,,Non-Tea Party supporters and Democrats,Trey Grayson,Both of them,,,An outisder who wants to shake things up,Jack Conway is,Rand Paul is,State questionnaire,Rural,Small Cities/Rural,1.0,4.0,South,Version 3,Extremely Low Density Rural,Rural,Rural,Downscale,42445.0
900227.0,Kentucky,55.0,Call 3,Complete,Election day exit poll,0.670435130596161,Jack Conway,Female,Black,40-44,Democrat,Conservative,"$100,000-$199,999",College graduate,No,,,,,,,,,,Omit,,,Omit,,,,Somewhat disapprove,,Understands the needs of people like me,,Omit,,,Seriously off on the wrong track,,Omit,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,,Omit,,,Disapprove,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,Omit,,,,,No,,,Jack Conway,Both of them,,,An insider who knows how to get things done,Jack Conway is,Rand Paul is,State questionnaire,Suburbs,Suburbs,3.0,3.0,South,Version 3,Suburb,60s Suburbs,Urban Perimeter,Very upscale,40207.0
900225.0,Kentucky,55.0,Call 3,Complete,Election day exit poll,0.670435130596161,Jack Conway,Female,Black,40-44,Democrat,Conservative,"$100,000-$199,999",College graduate,No,,,,,,,,,,Omit,,,Omit,,,,Somewhat disapprove,,Understands the needs of people like me,,Omit,,,Seriously off on the wrong track,,Omit,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,,Omit,,,Disapprove,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,Omit,,,,,No,,,Jack Conway,Both of them,,,An insider who knows how to get things done,Jack Conway is,Rand Paul is,State questionnaire,Suburbs,Suburbs,3.0,3.0,South,Version 3,Suburb,60s Suburbs,Urban Perimeter,Very upscale,40207.0
898761.0,Kentucky,98.0,Call 3,Complete,Election day exit poll,0.98094642162323,Rand Paul,Female,White,50-59,Independent,Moderate,"$200,000 or more",Postgraduate study,No,,,,,,,,,,Angry,,,You will be worse off,,,,Strongly disapprove,,Can bring needed change,,Strongly support,,,Seriously off on the wrong track,,Omit,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,Negative,,,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,Support,,,,,No,,Tea Party supporters,Trey Grayson,Only Jack Conway,,,An insider who knows how to get things done,Jack Conway is,Rand Paul is not,State questionnaire,Suburbs,Suburbs,4.0,2.0,South,Version 3,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,40077.0
898243.0,Kentucky,77.0,Call 3,Complete,Election day exit poll,1.74201428890228,Rand Paul,Male,White,60-64,Republican,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,,,,,,,,,,Angry,,,It will not make much difference to you,,,,Strongly disapprove,,Can bring needed change,,Neutral,,,Seriously off on the wrong track,,Omit,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,Negative,,,Disapprove,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,Neutral,,,,,Yes,,Non-Tea Party supporters and Republicans,Would not have voted,Only Jack Conway,,,An insider who knows how to get things done,Jack Conway is,Rand Paul is not,State questionnaire,Rural,Small Cities/Rural,5.0,1.0,South,Version 3,Low Density Rural,Rural,Rural,Very downscale,40906.0
