ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENCO10,GOVCO10,COAMD63,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,SENCNTL,TEAPARTY,TEAREAS,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,WHNCLINC,WHTEVANG,XTEAPARTYID,DECLINE10,EXTREMEBEN,EXTREMEBUCK,HICKMAES,HICKTANC,IMMDEPORT,OBAMALIB,OUTSIDER,EXTREMECO,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
857214.0,Colorado,,,Complete,Telephone survey,1.16999995708466,Ken Buck,Tom Tancredo,Yes,Male,White,50-59,Republican,Conservative,"$100,000-$199,999",College graduate,No,No,I strongly favor my candidate,Unfavorable,Favorable,Better,To express opposition to Barack Obama,Omit,Government is doing too many things better left to businesses and individuals,Repeal it,Illegal immigration,Somewhat worried,Strongly disapprove,Reducing the budget deficit,Can bring needed change,The Republican Party,Somewhat support,In favor of the Tea Party movement,McCain,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Omit,Something else,Worried,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,Support,No,All others,Tea Party supporters,"A serious, long-term decline",Yes,No,Would not have voted,Tom Tancredo,Deported to the country they came from,Too liberal,An outisder who wants to shake things up,Only Michael Bennet,State questionnaire,English,Suburbs,Suburbs,6.0,3.0,West,Version 1,Suburb,No Answer,Urban Perimeter,Upscale
856600.0,Colorado,,,Complete,Telephone survey,2.3199999332428,Ken Buck,Tom Tancredo,Yes,Male,White,40-44,Republican,Conservative,"$100,000-$199,999",Some college/assoc. degree,No,No,I strongly favor my candidate,Unfavorable,Omit,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Very worried,Strongly disapprove,Reducing the budget deficit,Understands the needs of people like me,The Republican Party,Somewhat support,The Tea Party movement was not a factor,McCain,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Negative,The economy,Worried,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,Support,No,All others,Tea Party supporters,"A serious, long-term decline",Yes,No,Would not have voted,Tom Tancredo,Omit,Too liberal,An outisder who wants to shake things up,Only Michael Bennet,State questionnaire,English,Suburbs,Suburbs,,3.0,West,Version 1,Suburb,No Answer,Urban Perimeter,Upscale
856544.0,Colorado,,,Complete,Telephone survey,0.300000011920929,Ken Buck,Tom Tancredo,,Female,White,45-49,Republican,Conservative,"$50,000-$74,999",High school graduate,No,Yes,I dislike the other candidate,Unfavorable,Unfavorable,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Very worried,Strongly disapprove,Reducing the budget deficit,Can bring needed change,Does not matter to me,Strongly support,The Tea Party movement was not a factor,McCain,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Negative,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Conservative Republicans,White,Support,No,White Born-again/Evangelical Christians,Tea Party supporters,"A serious, long-term decline",Yes,No,Would not have voted,Tom Tancredo,Deported to the country they came from,Too liberal,An outisder who wants to shake things up,Only Michael Bennet,State questionnaire,English,Suburbs,Suburbs,,3.0,West,Version 1,Suburb,No Answer,Urban Perimeter,Upscale
857129.0,Colorado,,,Complete,Telephone survey,0.140000000596046,Michael Bennet,John Hickenlooper,,Female,White,50-59,Independent,Liberal,"$100,000-$199,999",Postgraduate study,No,No,I like my candidate but with reservations,Favorable,Unfavorable,About the same,Barack Obama was not a factor,"Satisfied, but not enthusiastic",Government should do more to solve problems,Expand it,Health care,Somewhat worried,Strongly approve,Spending to create jobs,Understands the needs of people like me,The Democratic Party,Neutral,The Tea Party movement was not a factor,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Positive,Something else,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Neutral,No,All others,Non-Tea Party supporters and Independents/Something else,Omit,No,Yes,John Hickenlooper,John Hickenlooper,Offered a chance to apply for legal status,About right,Omit,Only Ken Buck,State questionnaire,English,Suburbs,Suburbs,,3.0,West,Version 1,Suburb,No Answer,Urban Perimeter,Upscale
856533.0,Colorado,,,Complete,Telephone survey,1.12000000476837,Michael Bennet,John Hickenlooper,Yes,Male,White,45-49,Independent,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,No,,Unfavorable,Unfavorable,About the same,To express support for Barack Obama,"Satisfied, but not enthusiastic",Government is doing too many things better left to businesses and individuals,Expand it,The war in Afghanistan,Very worried,Strongly approve,Spending to create jobs,Can bring needed change,Does not matter to me,Strongly oppose,The Tea Party movement was not a factor,Obama,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Positive,Something else,Worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,Yes,All others,Non-Tea Party supporters and Independents/Something else,A normal downturn,No,Yes,John Hickenlooper,John Hickenlooper,Offered a chance to apply for legal status,About right,An outisder who wants to shake things up,Only Ken Buck,State questionnaire,English,Suburbs,Suburbs,,3.0,West,Version 1,Suburb,No Answer,Urban Perimeter,Upscale
856546.0,Colorado,,,Complete,Telephone survey,0.850000023841858,Ken Buck,Dan Maes,No,Female,,,,,,,,,I strongly favor my candidate,Omit,Omit,Omit,Omit,Omit,Omit,Omit,The economy,Omit,Strongly disapprove,Omit,Has the right experience,Omit,Omit,Omit,Omit,,,,,,,,,,,,,,,,,Omit,The economy,Omit,Disapprove,,,,,,Omit,,,,Omit,Omit,Omit,Omit,Omit,Omit,Omit,Omit,Omit,State questionnaire,,Rural,Small Cities/Rural,5.0,4.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
856328.0,Colorado,,,Complete,Telephone survey,1.89999997615814,Ken Buck,Tom Tancredo,No,Male,,45-49,Independent,Conservative,"$50,000-$74,999",Postgraduate study,,No,I strongly favor my candidate,Unfavorable,Omit,Worse,Barack Obama was not a factor,Angry,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Very worried,Strongly disapprove,Cutting taxes,Has the right experience,The Republican Party,Strongly support,The Tea Party movement was not a factor,McCain,,,45-65,30-59,45+,45-59,40-49,,College graduate,More than High school graduate,,Less than 100k,50k or more,30k or more,50 to 100 thousand,,Negative,The economy,Worried,Disapprove,Independent/Something else,Independent Men,,Independents/Something else,,Support,,All others,Tea Party supporters,"A serious, long-term decline",Yes,No,Would not have voted,Tom Tancredo,Deported to the country they came from,Too liberal,An insider who knows how to get things done,Only Michael Bennet,State questionnaire,,Rural,Small Cities/Rural,5.0,3.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
856980.0,Colorado,,,Complete,Telephone survey,0.330000013113022,Michael Bennet,John Hickenlooper,,Male,Hispanic,45-49,Democrat,Moderate,,High school graduate,Yes,No,I like my candidate but with reservations,Favorable,Unfavorable,Worse,Barack Obama was not a factor,Omit,Government is doing too many things better left to businesses and individuals,Omit,The war in Afghanistan,Very worried,Somewhat approve,Spending to create jobs,Understands the needs of people like me,The Democratic Party,Omit,The Tea Party movement was not a factor,Obama,Non black male,Latino men,45-65,30-59,45+,45-59,40-49,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,,Omit,Something else,Worried,Approve,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Hispanic/Latino,Omit,,All others,,"A serious, long-term decline",Omit,Omit,John Hickenlooper,John Hickenlooper,Offered a chance to apply for legal status,About right,An outisder who wants to shake things up,Omit,State questionnaire,Spanish,"Cities 10,000-50,000",Small Cities/Rural,2.0,4.0,West,Version 1,Low Density Rural,Rural,Rural,Very upscale
856578.0,Colorado,,,Complete,Telephone survey,0.00999999977648258,Ken Buck,Dan Maes,Yes,Female,Hispanic,50-59,,Conservative,"Under $30,000",No high school diploma,Yes,Yes,I dislike the other candidate,Favorable,Favorable,Worse,To express support for Barack Obama,"Satisfied, but not enthusiastic",Government should do more to solve problems,Expand it,Illegal immigration,Somewhat worried,Somewhat approve,Spending to create jobs,Omit,Does not matter to me,Omit,Omit,Obama,Non black female,Latino women,45-65,30-59,45+,45-59,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Positive,Something else,Worried,Approve,,,,,Hispanic/Latino,Omit,No,All others,,"A serious, long-term decline",Omit,Omit,Would not have voted,Would not have voted,Offered a chance to apply for legal status,Too conservative,An insider who knows how to get things done,Omit,State questionnaire,Spanish,"Cities 10,000-50,000",Small Cities/Rural,3.0,4.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
865205.0,Colorado,,,Complete,Telephone survey,0.970000028610229,Ken Buck,Dan Maes,No,Male,White,50-59,Republican,Conservative,"Under $30,000",No high school diploma,No,,,,,Worse,,Angry,,,The economy,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Negative,The economy,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,Yes,,,,,,,,,,,,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,,4.0,West,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale
865202.0,Colorado,,,Complete,Telephone survey,1.16999995708466,Michael Bennet,John Hickenlooper,No,Male,White,30-39,Something else,Moderate,"$30,000-$49,999",Postgraduate study,No,,,,,Better,,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Positive,The economy,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,No,,,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,3.0,4.0,West,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale
865197.0,Colorado,,,Complete,Telephone survey,1.16999995708466,Michael Bennet,John Hickenlooper,Yes,Female,White,50-59,Democrat,Moderate,"Under $30,000",Some college/assoc. degree,No,,,,,About the same,,"Satisfied, but not enthusiastic",,,The war in Afghanistan,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Positive,Something else,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,Yes,,,,,,,,,,,,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,5.0,3.0,West,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale
865196.0,Colorado,,,Complete,Telephone survey,0.970000028610229,Ken Buck,Other,Did not vote,Female,White,65 or over,Republican,Conservative,,High school graduate,No,,,,,About the same,,"Dissatisfied, but not angry",,,Illegal immigration,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Negative,Something else,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,5.0,3.0,West,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale
864800.0,Colorado,,,Complete,Telephone survey,0.28999999165535,Ken Buck,John Hickenlooper,,Male,Hispanic,65 or over,Independent,Conservative,"$30,000-$49,999",College graduate,Yes,,,,,,,,Omit,,The economy,Somewhat worried,Strongly disapprove,,,,Neutral,,McCain,Non black male,Latino men,65+,60+,45+,60+,65+,Latino 65+,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,The economy,Worried,Disapprove,Independent/Something else,Independent Men,All others,Independents/Something else,White,Neutral,No,,Non-Tea Party supporters and Independents/Something else,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,3.0,4.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
