ID,PRSMI20,SENMI20,WEIGHT,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,CONTROLSEN,COUNT2,COUNTACC,COVIDHARDSHIP,COVIDHARDSHIP2,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,UNIONHH12,VERSION,VOTE2016,VOTEMETHOD,WHNCLINC,WHTEVANG,ZIPCODE
150768.0,Joe Biden,,0.07106573208,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,No,Call 3,9.0,No,Somewhat badly,Somewhat badly or very badly,,Very confident or somewhat confident,Somewhat confident,No financial hardship at all,No financial hardship at all,Election day,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Against his opponent,2.0,Joe Biden,Joe Biden,,,,,,,,Yes,No,Poor,Not so good or poor,Yes,,Independent/Something else,Non-black non-Democrat,Latino Independent,,Something else,All others,Conservative,97.0,Moderate/Liberal Republicans,Conservative Independents,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,The most important problem,The most important problem or one of many important problems,Midwest,,,Suburbs,Suburbs, Michigan,,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,Didn't vote,Election day,,All others,48342.0
153732.0,Joe Biden,,0.0594920649,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,All others,All others,Complete,,Call 3,1.0,,,,Omit,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Only Biden,Unfavorable,Better today,,5.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Health care policy,No,,,,,,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Moderate,25.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,Other,American Indian,State questionnaire,Other,Non-white,American Indian,,,Midwest,Female,All other races,Rural,Small Cities/Rural, Michigan,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,No,Version 1,,Election day,No,,438.0
137521.0,Joe Biden,,0.17353666025,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Not complete,No,Call 2,14.0,No,,,,,,,,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Against his opponent,1.0,,,,,,,,,,Yes,,,,No,Women without children,,,,,,,,138.0,,,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,,Midwest,Female,Latino women,"Cities over 500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,,,,,,Version 2,,Election day,,All others,48207.0
129254.0,Joe Biden,,0.07754328382,18-29,18-29,25-29,18-44,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Not complete,No,Call 1,8.0,Yes,,,,,,,,Election day,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,For your candidate,2.0,,,,,,,,,,No,,,,No,Women with children,,,,,,,,33.0,,,,Black,Black,State questionnaire,Black,Non-white,Black,,,Midwest,Female,Black women,"Cities 10,000-50,000",Small Cities/Rural, Michigan,Other,Election day exit poll,,,,,,,,,,Version 2,,Election day,,All others,48823.0
129002.0,Joe Biden,,0.04878007233,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,3.0,No,,,,,,,,Election day,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,Better today,,4.0,,,,,,,,,,No,No,,,,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,40.0,Moderate/Liberal Republicans,Moderate Independents,,White,White,National questionnaire,White,White,White,,,Midwest,Female,White women,Suburbs,Suburbs, Michigan,White suburban women,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,,Version 4,,Election day,,All others,49306.0
150408.0,Joe Biden,,0.15388813503,18-29,18-29,18-24,18-44,18-29,18-24,,,,Complete,,Call 3,1.0,,,,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,,Not so good,Not so good or poor,Yes,,Democrat,,,Democratic women,Democrat,,Liberal,16.0,Liberal Democrats,Liberal Democrats,,,,National questionnaire,,,,,,Midwest,Female,,Rural,Small Cities/Rural, Michigan,Other,Election day exit poll,,,,,,,,,No,Version 2,Didn't vote,Election day,,,49740.0
137237.0,Joe Biden,,0.17353666025,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,No,Call 2,14.0,No,Omit,Omit,,Omit,Omit,Omit,Omit,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Against his opponent,1.0,Omit,Donald Trump,,,,,,,,Yes,,Omit,Omit,No,Women without children,,,,,,,,138.0,,,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Omit,Omit,Midwest,Female,Latino women,"Cities over 500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,,,Omit,Omit,,Version 2,Omit,Election day,,All others,48207.0
140853.0,Joe Biden,,0.0535650736,18-29,18-29,25-29,18-44,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,,Call 2,14.0,Yes,Somewhat well,Very well or somewhat well,,Very confident or somewhat confident,Very confident,A severe financial hardship,A severe financial hardship or a moderate financial hardship,Election day,,,,,,,,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,No,,Not so good,Not so good or poor,No,Women with children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,143.0,Liberal Democrats,Liberal Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,Omit,Omit,Midwest,Female,Black women,"Cities over 500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,Donald Trump,Election day,,All others,48234.0
150203.0,Joe Biden,,0.05761289347,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 3,7.0,,,,The Democratic Party,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Biden,Unfavorable,About the same,,3.0,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Racial inequality,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Moderate,13.0,Moderate/Liberal Republicans,Moderate Independents,Can unite the country,White,White,State questionnaire,White,White,White,,,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,No,Version 1,,Election day,Yes,,48917.0
128183.0,Joe Biden,,0.23045157422,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 1,7.0,,,,The Democratic Party,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Only Biden,Unfavorable,Better today,,3.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Health care policy,,,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Moderate,13.0,Moderate/Liberal Republicans,Moderate Independents,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,,,Midwest,Female,Black women,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,Yes,Only Joe Biden does,No,Before that,Before that,Before that,,,Yes,Version 1,,Election day,No,,48917.0
