ExternalID,WEIGHT,PRSAZ20,SENAZ20,ABORT2,ABORTION,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VOTEMETHOD,ZIPCODE
73564.0,0.16670675035,Joe Biden,,Legal,Legal in most cases,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,7.0,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Only Biden,Unfavorable,About the same,Against his opponent,1.0,Joe Biden,Donald Trump,Racial inequality,No,No,Not so good,Not so good or poor,Yes,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Cares about people like me,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Before that,Before that,Before that,Strongly or somewhat disapprove,Somewhat disapprove,Version 1,By mail,85044.0
73366.0,0.00425858547,Joe Biden,,Omit,Omit,65+,60+,75 or older,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,4.0,Omit,Omit,Omit,Omit,Absentee or early in-person,Omit,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Omit,Omit,Omit,About the same,Omit,3.0,Omit,Omit,Racial inequality,No,No,Omit,Omit,No,,,,,,,,,,,Omit,Black,Black,State questionnaire,Black,Non-white,Black,Omit,Omit,West,Male,Black men,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Before that,Before that,Before that,Strongly or somewhat approve,Somewhat approve,Version 1,By mail,85364.0
73485.0,0.04793214136,Donald Trump,,Legal,Legal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Complete,,6.0,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Very confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Only Trump,Favorable,Better today,Omit,1.0,Donald Trump,Donald Trump,The economy,Yes,No,Good,Excellent or good,No,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,All others,Liberal,,Conservative Republicans,Mod./Liberal Republicans,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,A minor problem,A minor problem or not a problem at all,West,Male,Latino men,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In October,In the last month,Before that,Strongly or somewhat approve,Somewhat approve,Version 1,Early in-person,85255.0
73419.0,0.05123817212,Donald Trump,,Omit,Omit,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,,8.0,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Very confident,Absentee or early in-person,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Both of them,Favorable,Better today,Omit,1.0,Omit,Donald Trump,Omit,Yes,No,Good,Excellent or good,No,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Is a strong leader,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Omit,Omit,West,Male,Latino men,Suburbs,Suburbs,English,Arizona,Other,Telephone survey,Omit,Omit,Omit,Strongly or somewhat approve,Somewhat approve,Version 1,Election day,85378.0
73685.0,0.01446576046,Other,,Legal,Legal in all cases,45-65,60+,60-64,45+,60+,50-64,,,,Complete,,4.0,Very well,Very well or somewhat well,Very confident or somewhat confident,Very confident,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Associate's degree (AA or AS),No college degree,More than high school graduate,,,Favorable,Both of them,Favorable,Better today,For your candidate,3.0,Omit,Omit,Racial inequality,,Yes,Good,Excellent or good,No,Independent/Something else,,,Independent men,Independent,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,,,State questionnaire,,,,One of many important problems,The most important problem or one of many important problems,West,Male,,Suburbs,Suburbs,,Arizona,,Telephone survey,In October,In the last month,Before that,Strongly or somewhat approve,Somewhat approve,Version 1,Election day,85140.0
73684.0,0.03434604778,Other,,Legal,Legal in all cases,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,4.0,Somewhat badly,Somewhat badly or very badly,Not very confident or not at all confident,Not very confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Only Trump,Favorable,Better today,Omit,3.0,Omit,Donald Trump,The economy,No,No,Not so good,Not so good or poor,No,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,West,Male,White men,Suburbs,Suburbs,English,Arizona,White suburban men,Telephone survey,Before that,Before that,Before that,Strongly or somewhat approve,Strongly approve,Version 1,Election day,85140.0
73592.0,0.14543321802,Other,,Legal,Legal in all cases,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,All others,All others,Complete,,9.0,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Only Biden,Omit,Better today,Omit,1.0,Omit,Omit,Health care policy,,No,Good,Excellent or good,No,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,All others,Liberal,,Conservative Republicans,Mod./Liberal Republicans,Is a strong leader,Other,Other,State questionnaire,Other,Non-white,Other,The most important problem,The most important problem or one of many important problems,West,Male,All other races,"Cities over 500,000","Cities over 50,000",,Arizona,Other,Telephone survey,Omit,Omit,Omit,Strongly or somewhat disapprove,Strongly disapprove,Version 1,Election day,85014.0
73588.0,0.06954344957,Other,,Legal,Legal in most cases,30-44,30-59,35-39,18-44,30-44,30-39,,,,Complete,,6.0,Omit,Omit,Very confident or somewhat confident,Very confident,Absentee or early in-person,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,Unfavorable,Only Trump,Favorable,Better today,For your candidate,1.0,Omit,Donald Trump,Crime and safety,No,No,Good,Excellent or good,No,Independent/Something else,,,Independent women,Independent,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,,,State questionnaire,,,,A minor problem,A minor problem or not a problem at all,West,Female,,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In October,In the last month,Before that,Strongly or somewhat approve,Somewhat approve,Version 1,Early in-person,85020.0
73566.0,0.10918932067,Other,,Legal,Legal in all cases,30-44,30-59,35-39,18-44,30-44,30-39,,,,Complete,,3.0,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,Absentee or early in-person,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,,,Unfavorable,Neither of them,Unfavorable,Worse today,For your candidate,1.0,Joe Biden,Joe Biden,The coronavirus pandemic,No,No,Poor,Not so good or poor,Yes,Independent/Something else,,,Independent men,Something else,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Can unite the country,,,State questionnaire,,,,The most important problem,The most important problem or one of many important problems,West,Male,,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Before that,Before that,Before that,Strongly or somewhat disapprove,Strongly disapprove,Version 1,Election day,85043.0
73451.0,0.10918932067,Other,,Illegal,Illegal in most cases,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,8.0,Omit,Omit,Very confident or somewhat confident,Very confident,Absentee or early in-person,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Neither of them,Unfavorable,About the same,Omit,1.0,Omit,Omit,Health care policy,No,No,Good,Excellent or good,No,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,White,White,A minor problem,A minor problem or not a problem at all,West,Male,White men,Suburbs,Suburbs,English,Arizona,White suburban men,Telephone survey,Omit,Omit,Omit,Strongly or somewhat disapprove,Somewhat disapprove,Version 1,By mail,85306.0
