ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CLINBUSINESS,CLINHONEST,CLINREALISTIC,CLINTONLIB,CUBAN3,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,FLDPRS16,GENDISS,GENDISS2,GEOCODE,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,ISSDEM16,MARRIED,OBAMAPLCY,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,REL5,RELIGN10,RELWHITE,SANDBUSINESS,SANDERSLIB,SANDHONEST,SANDREALISTIC,SATHCLIN,SATSANDERS,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,VERSION,WEIGHT,WHNCLINC,ZIPCODE
489686.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,,,17.0,Too pro-business,Yes,,,"Yes, Cuban",Not too worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,Hillary Clinton,,,5.0,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Income inequality,,Change to more liberal policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Omit,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,South,None,None,,Too anti-business,,Yes,,,,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,0.973557710647583,No,33138.0
489687.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,,,23.0,About right,No,,,"Yes, Cuban",Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,Bernie Sanders,,,5.0,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Income inequality,,Generally continue Barack Obama's policies,Have experience in politics,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Can win in November,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,South,None,None,,About right,,Yes,,,,Female,Latino women,,Suburbs,Suburbs,English,Florida,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Version 1,1.07569754123688,No,33069.0
489688.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,,,7.0,Omit,Yes,,,"Yes, other Hispanic",Not at all worried,Not worried,High school or less,No college degree,High school graduate or less,Non white no college degree,Hillary Clinton,,,2.0,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Omit,,Generally continue Barack Obama's policies,Omit,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,,,,,Omit,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,South,Catholic,Catholic,,Omit,,Yes,,,,Female,Latino women,,Suburbs,Suburbs,English,Florida,Telephone survey,Omit,Omit,Omit,Omit,Version 1,4.16716575622559,No,32763.0
489689.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Complete,,,12.0,About right,Yes,,,"Yes, other Hispanic",Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,Hillary Clinton,,,4.0,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Terrorism,,Change to more liberal policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,South,Catholic,Catholic,,About right,,Yes,,,,Male,Latino men,,Suburbs,Suburbs,English,Florida,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Version 1,3.43220543861389,No,33844.0
489690.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,,,6.0,About right,Yes,,,"Yes, other Hispanic",Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,Hillary Clinton,,,4.0,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Income inequality,,Omit,Have experience in politics,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Has the right experience,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,South,Catholic,Catholic,,About right,,Yes,,,,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,1.82321691513062,No,34471.0
489691.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Black 45-64,Complete,,,23.0,About right,Yes,,,"Yes, other Hispanic",Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,Hillary Clinton,,,5.0,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Health care,,Change to less liberal policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,,Has the right experience,Other,Black,State questionnaire,Hispanic/Latino,Non-white,,,,,South,Protestant/Other Non-Catholic Christian,Protestant,,Too anti-business,,Yes,,,,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,2.1756386756897,No,33313.0
489692.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,,,22.0,About right,Yes,,,"Yes, other Hispanic",Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Hillary Clinton,,,5.0,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Health care,,Omit,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,,Has the right experience,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,South,Protestant/Other Non-Catholic Christian,Protestant,,Too pro-business,,Yes,,,,Female,Latino women,,Suburbs,Suburbs,English,Florida,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,4.35127735137939,No,33433.0
489693.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,,,18.0,About right,Yes,,,"Yes, other Hispanic",Not at all worried,Not worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Hillary Clinton,,,5.0,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Health care,,Change to less liberal policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,,Honest and trustworthy,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,South,Catholic,Catholic,,Too anti-business,,Yes,,,,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,2.0478196144104,No,33146.0
489694.0,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,,23.0,About right,Yes,,,No,Not at all worried,Not worried,High school or less,No college degree,High school graduate or less,Non white no college degree,Hillary Clinton,,,5.0,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Health care,,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,,,,,South,Something else,Other,,About right,,Yes,,,,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,2.83636927604675,No,33404.0
489695.0,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,,4.0,About right,Yes,,,No,Not at all worried,Not worried,High school or less,No college degree,High school graduate or less,Non white no college degree,Hillary Clinton,,,1.0,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Health care,,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,,,,,South,Something else,Other,,Too pro-business,,Yes,,,,Female,Black women,,"Cities over 500,000","Cities over 50,000",English,Florida,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,2.02015948295593,No,32218.0
