ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ARDPRS16,ATTEND,ATTEND2,BACKSIDE,CALL,CDNUM,CLINTONLIB,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GOVTANGR16,GOVTANGR16B,HONESTDEM16,HONESTDEM16CLIN,HONESTDEM16SAND,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INTCRISISDEM16,INTCRISISDEMCLIN,INTCRISISDEMSANDERS,ISSDEM16,MARRIED,OBAMAPLCY,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDERSLIB,SATHCLIN,SATSANDERS,SCOTUSDEM16,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,UNFAIRDEM16,UNFAIRDEM16CLIN,UNFAIRDEM16SAND,VALUESCLIN,VALUESDEM16,VALUESSANDERS,VERSION,WEIGHT,WHNCLINC,ZIPCODE
395854.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Hillary Clinton,A few times a year,Occasionally,Complete,,1.0,About right,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Terrorism,Yes,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,,,,Yes,Has the right experience,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Too liberal,Satisifed,Dissatisfied,,Male,White men,Married men,Suburbs,Suburbs,Arkansas,Telephone survey,,,,,,,,,,,Version 2,1.84707772731781,Yes,72076.0
395853.0,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Hillary Clinton,More than once a week,Weekly,Complete,,1.0,Omit,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,Omit,Omit,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Omit,Omit,Omit,Health care,Yes,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,,,,No,Can win in November,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Omit,Omit,Omit,South,Omit,Satisifed,Omit,,Female,Black women,Married women,Suburbs,Suburbs,Arkansas,Telephone survey,,,,,,,,,,,Version 2,1.84707772731781,No,72301.0
395852.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Hillary Clinton,More than once a week,Weekly,Complete,,3.0,About right,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,Angry,"Dissatisfied, but not angry or Angry",,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Has the right experience,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,About right,Satisifed,Satisifed,,Female,White women,Non married women,Suburbs,Suburbs,Arkansas,Telephone survey,,,,,,,,,,,Version 2,0.652561366558075,No,72936.0
395850.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Hillary Clinton,More than once a week,Weekly,Complete,,1.0,About right,,,,High school or less,No college degree,High school graduate or less,White no college degree,1.0,Angry,"Dissatisfied, but not angry or Angry",,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Terrorism,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,Moderate or conservative,Conservative,,Yes,Has the right experience,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Omit,Satisifed,Dissatisfied,,Female,White women,Non married women,Rural,Small Cities/Rural,Arkansas,Telephone survey,,,,,,,,,,,Version 2,0.199599742889404,Yes,72450.0
395849.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Hillary Clinton,Never,Never,Complete,,3.0,About right,,,,High school or less,No college degree,High school graduate or less,White no college degree,4.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Terrorism,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,,Yes,Has the right experience,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,Too liberal,Satisifed,Satisifed,,Female,White women,Non married women,Suburbs,Suburbs,Arkansas,Telephone survey,,,,,,,,,,,Version 2,0.326280683279037,Yes,72715.0
395847.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Hillary Clinton,Once a week,Weekly,Complete,,2.0,About right,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,2.0,Angry,"Dissatisfied, but not angry or Angry",,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,Yes,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,,Yes,Can win in November,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Dissatisfied,,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Arkansas,Telephone survey,,,,,,,,,,,Version 2,1.80899894237518,No,72034.0
395846.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Hillary Clinton,A few times a year,Occasionally,Complete,,3.0,Not liberal enough,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,4.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,No,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,Moderate or conservative,Conservative,,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Too liberal,Satisifed,Dissatisfied,,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Arkansas,Telephone survey,,,,,,,,,,,Version 2,1.34448277950287,No,72758.0
395845.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Hillary Clinton,Once a week,Weekly,Complete,,1.0,About right,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,Yes,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Has the right experience,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,,Male,White men,Married men,Suburbs,Suburbs,Arkansas,Telephone survey,,,,,,,,,,,Version 2,0.641932189464569,No,72364.0
395843.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Hillary Clinton,Once a week,Weekly,Complete,,1.0,About right,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Income inequality,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can win in November,Black,Black,State questionnaire,Black,Non-white,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Too liberal,Satisifed,Dissatisfied,,Female,Black women,Non married women,Rural,Small Cities/Rural,Arkansas,Telephone survey,,,,,,,,,,,Version 2,1.3667448759079,No,72360.0
395842.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Hillary Clinton,More than once a week,Weekly,Complete,,2.0,About right,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,No,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,,,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,About right,Satisifed,Satisifed,,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Arkansas,Telephone survey,,,,,,,,,,,Version 2,1.84707772731781,No,72209.0
