ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CICDEM16,CLINHONEST,CLINREALISTIC,CLINTONLIB,CLINTONWIN,CLINTONWIN2,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GETAHEAD,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INSPIRES16D,ISSDEM16,LIFE,MARRIED,OBAMAPLCY,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,REGION,SANDERSLIB,SANDERSWIN,SANDERSWIN2,SANDHONEST,SANDREALISTIC,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TERRWORR,TERWORR2,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,UNIONHH12,VERSION,WEIGHT,WHNCLINC,WIDPRS16,WORLD,ZIPCODE
526369.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Bernie Sanders,Call 3,3.0,,Yes,,,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Hillary Clinton,Health care,,No,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,33.0,Can win in November,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Non married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,,In the last few days,Last few days,In the last month,This month,Takes away U.S. jobs,No,Version 1,0.842815339565277,Yes,Hillary Clinton,,54738.0
526362.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,1.0,Hillary Clinton,,Realistic,About right,Excited,Excited or optimistic,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2.0,Holding steady financially,,,,,,,,,Economy/Jobs,Better than life today,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,85.0,Can win in November,White,White,State questionnaire,White,White,Midwest,About right,Optimistic,Excited or optimistic,,Not realistic,Female,White women,,Suburbs,Suburbs,Wisconsin,Election day exit poll,Very worried,Very or somewhat worried,,,,,,,Version 2,0.765794098377228,,Hillary Clinton,About the same role as now,53185.0
526361.0,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Hillary Clinton,Call 3,4.0,,Yes,,,,,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,1.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Bernie Sanders,Health care,,Yes,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Conservative,Moderate or conservative,Conservative,56.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Midwest,,,,Yes,,Male,Black men,Married men,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,In the last few days,Last few days,In the last month,This month,Creates more U.S. jobs,No,Version 1,1.15119242668152,No,Hillary Clinton,,53225.0
526351.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 3,3.0,Hillary Clinton,,Realistic,About right,Optimistic,Excited or optimistic,,,College graduate,College graduate,More than High school graduate,White college degree,5.0,Falling behind financially,,,,,,,,,Economy/Jobs,Better than life today,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,39.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,Too liberal,Concerned,Concerned or scared,,Not realistic,Male,White men,,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,Not too worried,Not too or not at all worried,,,,,,,Version 2,1.62139761447906,,Hillary Clinton,About the same role as now,54635.0
526350.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Hillary Clinton,Call 3,4.0,,No,,,,,Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,1.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Hillary Clinton,Economy/Jobs,,No,Change to more liberal policies,Omit,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Somewhat liberal,Liberal,Liberal,56.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Midwest,,,,No,,Male,Black men,Non married men,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,,Version 1,1.15119242668152,No,Hillary Clinton,,53225.0
526348.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Hillary Clinton,Call 3,1.0,,Yes,,,,,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Economy/Jobs,,Yes,Change to less liberal policies,Have experience in politics,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,95.0,Cares about people like me,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,No,Version 1,0.888816595077515,No,Hillary Clinton,,53115.0
526345.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,6.0,Hillary Clinton,,Realistic,About right,Optimistic,Excited or optimistic,,,Postgraduate study,College graduate,More than High school graduate,White college degree,2.0,Holding steady financially,,,,,,,,,Economy/Jobs,About the same,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,35.0,Can win in November,White,White,State questionnaire,White,White,Midwest,Too liberal,Optimistic,Excited or optimistic,,Realistic,Female,White women,,Suburbs,Suburbs,Wisconsin,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,,,Version 2,0.924335896968842,,Hillary Clinton,About the same role as now,54937.0
526338.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Hillary Clinton,Call 3,1.0,,Yes,,,,,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Hillary Clinton,Health care,,No,Change to more liberal policies,Have experience in politics,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,85.0,Cares about people like me,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Non married women,Suburbs,Suburbs,Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Yes,Version 1,0.776063740253448,Yes,Hillary Clinton,,53185.0
526336.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 3,4.0,Hillary Clinton,,Realistic,Too liberal,Optimistic,Excited or optimistic,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,1.0,Holding steady financially,,,,,,,,,Health care,Better than life today,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,56.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Midwest,Too liberal,Concerned,Concerned or scared,,Not realistic,Female,Black women,,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,,,Version 2,1.13595867156982,,Hillary Clinton,About the same role as now,53225.0
526335.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Hillary Clinton,Call 3,3.0,,Yes,,,,,Not too worried,Not worried,High school or less,No college degree,High school graduate or less,White no college degree,5.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Health care,,Yes,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,39.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,No,Version 1,1.64314138889313,No,Hillary Clinton,,54635.0
526331.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,7.0,Hillary Clinton,,Realistic,About right,Optimistic,Excited or optimistic,,,College graduate,College graduate,More than High school graduate,White college degree,4.0,Getting ahead financially,,,,,,,,,Income inequality,Worse than life today,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,49.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,About right,Optimistic,Excited or optimistic,,Realistic,Female,White women,,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,Not too worried,Not too or not at all worried,,,,,,,Version 2,1.47934901714325,,Hillary Clinton,More active role,54491.0
