ID,BACKSIDE,BEATTRUMP16,CALL,CDNUM,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GUNPLCYDEM16NY,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INSPIRES16D,ISSDEM16,LATINO,MDDPRS16,MDDSEN16,OBAMAPLCY,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACEREL14,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,VERSION,VOTENOVCLINTON,VOTENOVSANDERS,WALLST16,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
582558.0,Complete,Hillary Clinton,Call 2,4.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Hillary Clinton,Terrorism,No,Hillary Clinton,Chris Van Hollen,Generally continue Barack Obama's policies,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Moderate,Moderate or conservative,Moderate,103.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Stayed about the same,East,,,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This month,Version 1,Definitely vote for her,Omit,Hurt the U.S. economy,1.41845726966858,No,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,20746.0
584623.0,Complete,Bernie Sanders,Call 3,7.0,High school or less,No college degree,High school graduate or less,Non white no college degree,4.0,Bernie Sanders,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Bernie Sanders,Health care,No,Bernie Sanders,Donna Edwards,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,69.0,Cares about people like me,Other,Other,State questionnaire,Other,Non-white,Other,Stayed about the same,East,,,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,Probably vote for her,Definitely vote for him,Hurt the U.S. economy,0.851292252540588,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,All others,21042.0
582596.0,Not complete,,Call 2,2.0,,,,,1.0,,,,,,,,,,,No,Bernie Sanders,Donna Edwards,,,,,,,,,,64.0,,White,White,State questionnaire,White,White,White,,East,,,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,Probably vote for her,Definitely vote for him,Help the U.S. economy,0.731059014797211,,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,21001.0
585066.0,Complete,Bernie Sanders,Call 3,4.0,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,Bernie Sanders,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Bernie Sanders,Economy/Jobs,No,,Chris Van Hollen,Generally continue Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,104.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Gotten worse,East,Male,Black men,Suburbs,Suburbs, Maryland,Election day exit poll,Just today,Last few days,In the last month,This month,Version 1,Not vote for her,Not vote for him,Hurt the U.S. economy,0.785318791866302,No,17-29,17-29,25-29,17-44,17-49,17-29,25-29,Black 17-29,20746.0
582306.0,Complete,Hillary Clinton,Call 2,7.0,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Hillary Clinton,Income inequality,No,,Chris Van Hollen,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,69.0,Cares about people like me,White,White,State questionnaire,White,White,White,Gotten worse,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,Definitely vote for her,Definitely vote for him,Hurt the U.S. economy,0.623009562492371,No,65+,60+,65 or over,45+,50+,60+,65+,White 60+,21042.0
584196.0,Complete,Hillary Clinton,Call 3,4.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,Hillary Clinton,,,,,,,,Hillary Clinton,Economy/Jobs,No,Hillary Clinton,,Generally continue Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,100.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Stayed about the same,East,Male,Black men,Suburbs,Suburbs, Maryland,Election day exit poll,Just today,Last few days,In the last month,This month,Version 1,Definitely vote for her,Not vote for him,Help the U.S. economy,1.02810084819794,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,20784.0
583964.0,Complete,Hillary Clinton,Call 3,2.0,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Hillary Clinton,Terrorism,,Hillary Clinton,,Generally continue Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,64.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Gotten worse,East,Male,Black men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,Definitely vote for her,Not vote for him,Hurt the U.S. economy,0.604458153247833,No,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,21001.0
584801.0,Complete,Hillary Clinton,Call 3,5.0,College graduate,College graduate,More than High school graduate,Non white college degree,1.0,Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",Hillary Clinton,Income inequality,No,Hillary Clinton,,Generally continue Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,Moderate or conservative,Conservative,51.0,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Black,Gotten better,East,Male,Black men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Version 1,Definitely vote for her,Not vote for him,Help the U.S. economy,0.604245841503143,No,,,,,,,,,20640.0
582763.0,Complete,Hillary Clinton,Call 2,4.0,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Hillary Clinton,Economy/Jobs,,Hillary Clinton,,Generally continue Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,104.0,Can win in November,Black,Black,State questionnaire,Black,Non-white,Black,Gotten better,East,Male,Black men,Suburbs,Suburbs, Maryland,Election day exit poll,Just today,Last few days,In the last month,This month,Version 1,Definitely vote for her,Not vote for him,Help the U.S. economy,0.993505775928497,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,20746.0
582534.0,Complete,Hillary Clinton,Call 2,4.0,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,Bernie Sanders,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Hillary Clinton,Health care,No,Hillary Clinton,,Change to more liberal policies,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Somewhat liberal,Liberal,Liberal,103.0,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Black,Gotten worse,East,Male,Black men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This month,Version 1,Definitely vote for her,Not vote for him,Help the U.S. economy,1.55357027053833,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,20746.0
