ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSFL16,SENFL16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,CUBAN3,MARRIED,@2WAYPRES16,BRNAGAIN,CLIMATECHANGE,CLINTONEMAIL,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,FINSIT,GOTV16,GOVTANGR16,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,RELIGN10,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELWHITE,MORMON,WHTEVANG,WPROTBRN,WPROTBRN3,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,SPANISHQ,ZIPCODE
176623.0,Florida,6.0,Call 1,Complete,Election day exit poll,0.1060920804739,Other,Marco Rubio,Female,Hispanic/Latino,30-39,Something else,,"$50,000-$99,999",College graduate,"Yes, other Hispanic",,,Yes,Yes,,,,Unfavorable,Omit,,,,,,,,,,,The economy,,,Strongly disapprove,Omit,No,Yes,,Other christian,,,In the last week,,,Latino women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,All others,Hispanic/Latino,Other,Non-white,,Other,No,,Omit,,,,,,Disapprove,,,Only Donald Trump,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,,Not a mormon,All others,No,,Republican Senate - did not vote Trump,,In the last month,In the last week,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",8.0,South,Version 1,2.0,English,32905.0
210254.0,Florida,52.0,Call 3,Complete,Election day exit poll,0.157137840986252,Other,Patrick Murphy,Male,Black,18-24,Democrat,Liberal,,Some college/assoc. degree,No,No,Would not have voted,No,,Not at all,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,A lot,Black men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,,Other,,Not much or not at all,,,,,,,,Liberal Democrats,Liberal Democrats,,Other religion,Something else,,Not a mormon,All others,No,,Democratic Senate - did not vote Clinton,,,,A lot or some,National questionnaire,Suburbs,Suburbs,15.0,South,Version 5,3.0,English,33548.0
210091.0,Florida,6.0,Call 3,Complete,Election day exit poll,0.115091659128666,Other,Other,Male,Black,30-39,Independent,Moderate,"Under $30,000",High school or less,No,,,No,Yes,,,,Unfavorable,Unfavorable,,,,,,,,,,,Foreign policy,,,Somewhat disapprove,Has the right experience,No,No,,Other christian,,,In the last few days,,,Black men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,,Other,No,,Neither,,,,,,Disapprove,Moderate/Liberal Republicans,Moderate Independents,Neither,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,,Not a mormon,All others,No,,Other Senate vote,,In the last month,In the last week,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",8.0,South,Version 1,2.0,English,32905.0
176188.0,Florida,5.0,Call 1,Complete,Election day exit poll,0.13601741194725,Other,Other,Male,White,18-24,Independent,Conservative,,Some college/assoc. degree,No,No,,,,,I dislike the other candidates,Treats all people fairly,,,Worse today,,Angry,,,,No,No,,,The economy,,Not so good,,Cares about people like me,,,,Other christian,No,No,,,,White men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Conservative Independents,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Not a mormon,,,,Other Senate vote,Neither,,,,State questionnaire,Suburbs,Suburbs,8.0,South,Version 2,2.0,English,32953.0
195669.0,Florida,103.0,Call 2,Complete,Election day exit poll,0.135215401649475,Other,Marco Rubio,Male,Black,25-29,Democrat,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,Yes,,,,,,,Favorable,Unfavorable,,,,,,,,,,,The economy,,,Strongly approve,Cares about people like me,,,,,,,In the last few days,,,Black men,Married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,,Other,No,,Only Hillary Clinton,,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,Republican Senate - did not vote Trump,,In the last month,In the last week,,National questionnaire,Suburbs,Suburbs,18.0,South,Version 1,2.0,English,34953.0
197233.0,Florida,71.0,Call 2,Complete,Election day exit poll,0.101411543786526,Other,Marco Rubio,Male,White,25-29,Something else,,,High school or less,No,,,,,,,,,,About the same,,,Omit,Omit,,,,,,,,,,,,,,,,,,,,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,,,,,,,,,,,,,,,,,Republican Senate - did not vote Trump,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",16.0,South,Version 4,3.0,English,34243.0
196425.0,Florida,108.0,Call 2,Complete,Election day exit poll,0.103902190923691,Other,Other,Male,White,30-39,Independent,Moderate,"$50,000-$99,999",College graduate,No,Yes,,,,,,,Unfavorable,Unfavorable,,,,,,,,,,,The economy,,,Strongly approve,Cares about people like me,,,,,,,In the last few days,,,White men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,No,,Neither,,,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,Other Senate vote,,In the last month,In the last week,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,South,Version 1,2.0,English,32771.0
137640.0,Florida,,,Complete,Telephone survey,8.15455436706543,Other,Patrick Murphy,Male,Black,18-24,Independent,Liberal,,Some college/assoc. degree,No,,,,,,,,,,About the same,,,Omit,Hillary Clinton,,,,,,,,,,,,,,,,,,,,Black men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,,Other,,,,,,,,,,Moderate/Liberal Republicans,Liberal Independents,,,,,,,,,Democratic Senate - did not vote Clinton,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",18.0,South,Version 4,5.0,English,33401.0
216606.0,Florida,48.0,Call 3,Complete,Election day exit poll,0.119996167719364,Other,Patrick Murphy,Male,White,30-39,Democrat,Moderate,"Under $30,000",Some college/assoc. degree,No,,,,,,I dislike the other candidates,,,,,,"Dissatisfied, but not angry",,,,No,No,,,The economy,,Poor,,Can bring needed change,,,,,No,No,,,,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,Other,Yes,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,Democratic Senate - did not vote Clinton,Neither,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 2,1.0,English,32526.0
196569.0,Florida,50.0,Call 2,Complete,Election day exit poll,0.118896298110485,Other,Marco Rubio,Male,White,65 or over,Republican,Moderate,"$100,000-$199,999",Postgraduate study,No,Yes,,,,,,,Unfavorable,Unfavorable,,,,,,,,,,,Terrorism,,,Somewhat disapprove,Can bring needed change,,,,,,,In the last few days,,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,Other,No,,Neither,,,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,,,,,,,,,Republican Senate - did not vote Trump,,In the last month,In the last week,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",14.0,South,Version 1,3.0,English,33615.0
