ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNV16,SENNV16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,FAVREID,FINSIT,GOTV16,GOVTANGR16,HANDLEECON16,HANDLEFP16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,IMMWALL,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,RELIGN10,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,UNFAIRCLIN,UNFAIRTRUMP,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELWHITE,MORMON,WHITEREL,WHTEVANG,WPROTBRN,WPROTBRN3,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,UNFAIR16,UNIONHH12,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
134355.0,Nevada,,,Complete,Telephone survey,0.960918426513672,Donald Trump,Joe Heck,Male,,45-49,Republican,Conservative,"$100,000-$199,999",High school or less,,,,,,,Unfavorable,Favorable,Unfavorable,,,,,,,,,,,The economy,,,Strongly disapprove,Can bring needed change,No,Yes,,Protestant,,,Before that,,,No,No,,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,,,,No college degree,High school graduate or less,,,100k or more,50k or more,100 thousand or more,,Republican,,,Republican men,,,,,,Other,No,,Only Donald Trump,,,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,,Not a mormon,,,,,Republican Senate - Voted Trump,,Before that,Before that,,Neither,,State questionnaire,,"Cities over 500,000","Cities over 50,000",4.0,West,Version 1,Clark County,89129.0
134356.0,Nevada,,,Complete,Telephone survey,0.353804498910904,Hillary Clinton,Catherine Cortez Masto,Male,,,,,,,,,,,,,Favorable,Unfavorable,Omit,,,,,,,,,,,The economy,,,Strongly approve,Can bring needed change,Yes,No,,,,,Before that,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,Only Hillary Clinton,,,,,,Approve,,,Only Hillary Clinton,,,,,,,,,Democratic Senate - voted Clinton,,Before that,Before that,,Only Donald Trump,,State questionnaire,,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,Clark County,89121.0
134357.0,Nevada,,,Complete,Telephone survey,0.2778539955616,Donald Trump,Joe Heck,Male,,,Something else,Conservative,,,,,,,,,Unfavorable,Favorable,Unfavorable,,,,,,,,,,,The economy,,,Strongly disapprove,Can bring needed change,No,Yes,,,,,Before that,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,Independent/Something else,,,Independent men,,,,,,Other,,,Only Donald Trump,,,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Only Donald Trump,,,,,,,,,Republican Senate - Voted Trump,,Before that,Before that,,Only Hillary Clinton,,State questionnaire,,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,Clark County,89128.0
134358.0,Nevada,,,Complete,Telephone survey,0.692995369434357,Gary Johnson,Joe Heck,Female,,30-39,,,,,,,,,,,Unfavorable,Unfavorable,Favorable,,,,,,,,,,,The economy,,,Strongly approve,Has good judgment,No,No,,,,,Before that,,,No,Yes,,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,,,,,,,,,,,,,,,,,,,,,Other,,,Neither,,,,,,Approve,,,Neither,,,,,,,,,Republican Senate - did not vote Trump,,Before that,Before that,,Only Donald Trump,,State questionnaire,,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,Clark County,89115.0
134359.0,Nevada,,,Complete,Telephone survey,2.82272458076477,Hillary Clinton,None of these candidates,Female,Hispanic/Latino,50-59,Democrat,Conservative,,High school or less,Yes,,,,,,Favorable,Unfavorable,Favorable,,,,,,,,,,,The economy,,,Somewhat disapprove,Has the right experience,Yes,No,,Catholic,,,In October,,,Omit,Yes,Latino women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Hillary Clinton,,,,,,Disapprove,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,"Protestant, Catholic or other Christian",Catholic,,Not a mormon,Non-white,,,,Other Senate vote,,In the last month,Before that,,Only Donald Trump,,State questionnaire,Spanish,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,Clark County,89115.0
134360.0,Nevada,,,Complete,Telephone survey,1.3046510219574,Hillary Clinton,Catherine Cortez Masto,Female,White,65 or over,Independent,Moderate,"$50,000-$99,999",High school or less,No,,,,,,Favorable,Unfavorable,Favorable,,,,,,,,,,,Foreign policy,,,Strongly approve,Has the right experience,Yes,No,,Catholic,,,In September,,,No,Yes,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,,Only Hillary Clinton,,,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,"Protestant, Catholic or other Christian",Catholic,Catholic,Not a mormon,White Catholics,,,,Democratic Senate - voted Clinton,,Before that,Before that,,Only Donald Trump,,State questionnaire,English,Suburbs,Suburbs,1.0,West,Version 1,Clark County,89030.0
134361.0,Nevada,,,Complete,Telephone survey,0.56916218996048,Hillary Clinton,Catherine Cortez Masto,Female,Black,65 or over,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,No,,,,,,Favorable,Unfavorable,Favorable,,,,,,,,,,,The economy,,,Strongly approve,Cares about people like me,Yes,No,,None,,,Before that,,,No,Yes,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,Only Hillary Clinton,,,,,,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,None,None,,Not a mormon,Non-white,,,,Democratic Senate - voted Clinton,,Before that,Before that,,Only Donald Trump,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",4.0,West,Version 1,Clark County,89108.0
134362.0,Nevada,,,Complete,Telephone survey,2.19293975830078,Hillary Clinton,Catherine Cortez Masto,Female,Other,45-49,Democrat,Moderate,"$50,000-$99,999",Postgraduate study,No,,,,,,Favorable,Unfavorable,Favorable,,,,,,,,,,,The economy,,,Somewhat approve,Has the right experience,Yes,No,,None,,,Before that,,,No,Yes,All other races,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Non-black Democrat,All Other,Democratic women,Non-White Democrats,Other,Other,Non-white,Other,Other,No,,Only Hillary Clinton,,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,None,None,,Not a mormon,Non-white,,,,Democratic Senate - voted Clinton,,Before that,Before that,,Only Donald Trump,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,Clark County,89121.0
134363.0,Nevada,,,Complete,Telephone survey,0.789166331291199,Hillary Clinton,Catherine Cortez Masto,Male,Other,40-44,Independent,Liberal,"$100,000-$199,999",College graduate,No,,,,,,Favorable,Unfavorable,Unfavorable,,,,,,,,,,,The economy,,,Strongly approve,Has the right experience,Yes,No,,None,,,Before that,,,No,Yes,All other races,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Independent/Something else,Non-black non-Democrat,All Other,Independent men,All others,Other,Other,Non-white,Other,Other,No,,Only Hillary Clinton,,,,,,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,None,None,,Not a mormon,Non-white,,,,Democratic Senate - voted Clinton,,Before that,Before that,,Only Donald Trump,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",3.0,West,Version 1,Clark County,89052.0
134364.0,Nevada,,,Complete,Telephone survey,1.15309023857117,Hillary Clinton,Catherine Cortez Masto,Male,White,65 or over,Democrat,Moderate,"$50,000-$99,999",College graduate,No,,,,,,Favorable,Unfavorable,Favorable,,,,,,,,,,,Omit,,,Strongly approve,Omit,Yes,No,,Other,,,Before that,,,No,No,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,Other,No,,Only Hillary Clinton,,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,Other religion,Something else,Something else,Not a mormon,White something else,,,,Democratic Senate - voted Clinton,,Before that,Before that,,Neither,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",3.0,West,Version 1,Clark County,89134.0
134365.0,Nevada,,,Complete,Telephone survey,2.26090788841248,Donald Trump,Joe Heck,Female,White,50-59,Republican,Moderate,"$50,000-$99,999",High school or less,No,,,,,,Unfavorable,Favorable,Unfavorable,,,,,,,,,,,Terrorism,,,Somewhat approve,Can bring needed change,No,Yes,,Catholic,,,Before that,,,No,Omit,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,No,,Only Donald Trump,,,,,,Approve,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,"Protestant, Catholic or other Christian",Catholic,Catholic,Not a mormon,White Catholics,,,,Republican Senate - Voted Trump,,Before that,Before that,,Omit,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",3.0,West,Version 1,Clark County,89156.0
134366.0,Nevada,,,Complete,Telephone survey,1.14199256896973,Hillary Clinton,None of these candidates,Female,Black,50-59,Democrat,Liberal,"$30,000-$49,999",College graduate,No,,,,,,Favorable,Unfavorable,Unfavorable,,,,,,,,,,,Immigration,,,Strongly approve,Cares about people like me,Yes,No,,Protestant,,,In October,,,No,Yes,Black women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,Only Hillary Clinton,,,,,,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,,Not a mormon,Non-white,,,,Other Senate vote,,In the last month,Before that,,Only Donald Trump,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,Clark County,89121.0
