ID,WEIGHT,PRSWI24,SENWI24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,BRNAGAIN,CALL,CDNUM,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EVERS24,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,HANDLECRIME24,HANDLECRISIS24,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,UNIONHH12,VERSION,VOTE2020,VOTEMETHOD,WHTEVANG,ZIPCODE
46618.0,0.892155057,Did not vote,Did not vote,Legal,Legal in most cases,30-44,30-59,18-34,30-34,18-44,30-44,30-39,Non-Black 30-44,Men 30-44,All others,All others,Men 18-44,Complete,Strongly or somewhat approve,Somewhat approve,,Call 3,1.0,The Democratic Party,,,Election day,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,Yes,Both,Yes,Not very confident,Not very confident or Not at all confident,,,,,,Suburban men,1.0,Omit,Omit,,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,All others,Liberal,62.0,Moderate/Liberal Republicans,Liberal Independents,,Other,Other,State questionnaire,Other,Non-black,Non-white,Other,Midwest,Male,All other races,Suburbs,Suburbs,Wisconsin,Other,Election day exit poll,Before that,Before that,Before that,,,,Version 2,Did not vote,Election day,,53154.0
13417.0,0.136548521,Other,Tammy Baldwin,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,1.0,The Democratic Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,Yes,Both,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban men,2.0,Omit,Omit,,No,Poor,Not so good or poor,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,,,,,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,Suburbs,Suburbs,Wisconsin,White suburban men,Telephone survey,Before that,Before that,Before that,,,,Version 2,Other,By mail,,53143.0
30558.0,0.390585379,Other,Tammy Baldwin,Illegal,Illegal in all cases,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Men 45-64,All others,All others,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Call 1,1.0,The Democratic Party,,,Election day,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,Yes,Both,Yes,Not at all confident,Not very confident or Not at all confident,,,,,,Suburban men,2.0,Omit,Omit,,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,All others,Moderate,81.0,Moderate/Liberal Republicans,Moderate Independents,,Other,Asian,State questionnaire,Asian,Non-black,Non-white,Asian,Midwest,Male,All other races,Suburbs,Suburbs,Wisconsin,Other,Election day exit poll,In the last few days,In the last month,In the last week,,,,Version 2,Joe Biden,Election day,,53182.0
13330.0,0.439970042,Donald Trump,Eric Hovde,Omit,Omit,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,8.0,The Republican Party,,,Absentee or early in-person,,,,,,,Yes,Only Harris,No,Not at all confident,Not very confident or Not at all confident,,,,,,Rural men,6.0,Omit,Donald Trump,,No,Poor,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,Rural,Small Cities/Rural,Wisconsin,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,Early in-person,,54983.0
13513.0,0.553028086,Donald Trump,Eric Hovde,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,1.0,The Republican Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,Yes,Only Harris,No,Not very confident,Not very confident or Not at all confident,,,,,,Rural women,2.0,Omit,Donald Trump,,No,Poor,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Rural,Small Cities/Rural,Wisconsin,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Donald Trump,Early in-person,,53121.0
13129.0,0.626954838,Donald Trump,Eric Hovde,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,8.0,The Republican Party,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,Yes,Only Harris,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban women,4.0,Omit,Donald Trump,,No,Not so good,Not so good or poor,No,18-64,,,,,,,Moderate,,,,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs,Wisconsin,White suburban women,Telephone survey,In October,In the last month,Before that,,,,Version 2,Donald Trump,By mail,,54130.0
13335.0,0.713384909,Donald Trump,Eric Hovde,Legal,Legal in most cases,30-44,30-59,35-49,40-44,18-44,30-44,40-49,Non-Black 30-44,Men 30-44,White 30-44,White 30-44,Men 18-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,4.0,The Republican Party,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,Yes,Only Harris,No,Not at all confident,Not very confident or Not at all confident,,,,,,Urban men,1.0,Omit,Donald Trump,,No,Poor,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities over 500,000","Cities over 50,000",Wisconsin,Other,Telephone survey,In September,Before that,Before that,,,,Version 2,Donald Trump,Early in-person,,53226.0
38413.0,0.380914757,Other,Eric Hovde,Legal,Legal in most cases,30-44,30-59,35-49,40-44,18-44,30-44,40-49,Non-Black 30-44,Men 30-44,White 30-44,White 30-44,Men 18-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Call 2,5.0,The Republican Party,,,Election day,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Yes,Both,Yes,Not very confident,Not very confident or Not at all confident,,,,,,Suburban men,2.0,Omit,Omit,,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Conservative,101.0,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,Suburbs,Suburbs,Wisconsin,White suburban men,Election day exit poll,In October,In the last month,Before that,,,,Version 2,Donald Trump,Election day,,53072.0
37794.0,0.494688996,Other,Did not vote,Legal,Legal in most cases,30-44,30-59,35-49,40-44,18-44,30-44,40-49,Non-Black 30-44,Men 30-44,All others,All others,Men 18-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Call 2,1.0,Omit,,,Election day,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,No,Neither,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban men,1.0,Omit,Omit,,No,Poor,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,All others,Moderate,62.0,Moderate/Liberal Republicans,Moderate Independents,,Other,Other,State questionnaire,Other,Non-black,Non-white,Other,Midwest,Male,All other races,Suburbs,Suburbs,Wisconsin,Other,Election day exit poll,Before that,Before that,Before that,,,,Version 2,Joe Biden,Election day,,53154.0
13322.0,0.416519347,Kamala Harris,Tammy Baldwin,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,5.0,The Democratic Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,2.0,Omit,Kamala Harris,,No,Not so good,Not so good or poor,No,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs,Wisconsin,White suburban women,Telephone survey,In October,In the last month,Before that,,,,Version 2,Joe Biden,Early in-person,,53149.0
