ID,WEIGHT,PRSFL24,SENFL24,FLAMD4,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,CALL,CDNUM,CONTROLSEN,CUBAN,CUBANPR4,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,HURRICANEAID,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PUERTORICAN,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,VERSION,VOTE2020,VOTEMETHOD,ZIPCODE
11603.0,0.411882825,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,16.0,The Democratic Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,No,Only Trump,Yes,Not very confident,Not very confident or Not at all confident,,,,,,Urban men,3.0,,,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,By mail,34243.0
11604.0,0.6572383,Donald Trump,Rick Scott,Did not vote,Omit,Omit,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,13.0,The Republican Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Yes,Only Harris,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban women,3.0,,,No,Not so good,Not so good or poor,No,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Florida,White suburban women,Telephone survey,Before that,Before that,Before that,,,Version 2,Donald Trump,By mail,34698.0
11605.0,0.58301997,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,17.0,The Democratic Party,No,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban men,4.0,,,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,By mail,34235.0
11606.0,0.589160947,,Rick Scott,Yes,Illegal,Illegal in most cases,30-44,30-59,35-49,40-44,18-44,30-44,40-49,Non-Black 30-44,Women 30-44,All others,All others,Women 18-44,Complete,Strongly or somewhat approve,Somewhat approve,,9.0,The Republican Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,Neither,No,Not very confident,Not very confident or Not at all confident,,,,,,Urban women,2.0,,,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Something else,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,No,,Other,Asian,State questionnaire,Asian,Non-black,Non-white,Asian,South,Female,All other races,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,In September,Before that,Before that,,,Version 2,Joe Biden,Early in-person,34758.0
11607.0,1.101631411,Other,Other,Yes,Legal,Legal in all cases,30-44,30-59,18-34,30-34,18-44,30-44,30-39,Black 30-44,Men 30-44,Black 30-44,Black 30-44,Men 18-44,Complete,Strongly or somewhat approve,Strongly approve,,2.0,The Democratic Party,No,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Rural men,1.0,,,No,Poor,Not so good or poor,No,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,No,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Male,Black men,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person,32404.0
11608.0,0.449392488,Donald Trump,Rick Scott,No,Illegal,Illegal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,17.0,The Republican Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Yes,Only Harris,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban women,4.0,,,No,Poor,Not so good or poor,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Donald Trump,By mail,34287.0
11609.0,0.319800921,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,All others,All others,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,3.0,The Democratic Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Urban men,1.0,,,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,Other,Other,State questionnaire,Other,Non-black,Non-white,Other,South,Male,All other races,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person,32653.0
11610.0,0.428890445,Donald Trump,Rick Scott,No,Illegal,Illegal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,3.0,The Republican Party,No,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Yes,Only Harris,No,Not at all confident,Not very confident or Not at all confident,,,,,,Urban women,1.0,,,No,Poor,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Donald Trump,By mail,32606.0
11611.0,0.425717943,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in most cases,30-44,30-59,35-49,40-44,18-44,30-44,40-49,Non-Black 30-44,Women 30-44,White 30-44,White 30-44,Women 18-44,Complete,Strongly or somewhat approve,Somewhat approve,,3.0,The Democratic Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban women,1.0,,,No,Poor,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person,32605.0
11612.0,0.736905802,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in all cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Black 45-59,Women 45-64,Black 45-59,Black 45-64,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,9.0,The Democratic Party,No,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,2.0,,,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,No,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Female,Black women,Suburbs,Suburbs,English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,By mail,34773.0
