ID,HOUNY18,SENNY18,GOVNY18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND16,ATTEND16B,ATTREL,BACKSIDE,BOYSGIRLS,BREAK18,BREAK18A,BREAK18B,BRNAGAIN,CALL,CDNUM,CHILD18,CHILDBOY,CHILDGIRL,CONTROLHOUSE,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ELECTSECFOREIGN18,FAVDEM2,FAVPARTY,FAVPELOSI,FAVREP2,FINSIT2,FORTRUMPH,FTVOTER18,GEOCODE,GOV,GUN16,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,HOU,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVANAUGH18,LATINO,LGBT,MARRIED,MUELLERAPP,NEC,NEC2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE18,RACE18B,RACE2B,RACEAI,RACEFACTOR,REGION,REL5,RELIGN18,RELWHITE,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18HOU,TIME18HOUMONTH,TIME18HOUWEEK,TRACK,TRADE18,TRUMP2,TRUMP4,TRUMPFP18,TRUMPIMM,UNITED18,VERSION,VETVOTER,VOTE2016,VOTEISS18,WEIGHT,WHITEREL,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,WPROTBRN,WPROTBRN3,ZIPCODE
28748.0,The Republican candidate,,,,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,A few times a year,A few times a year or less,,Complete,No children in home,,,,,,20.0,No,No,No,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,3.0,,Oppose,,,The Republican Party,The Republican candidate,,,,,,,,Health care,,No,,Yes,,,,45+,18-64,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,,,White,White,,East,,,,,,Male,White men,Somewhat serious,Serious,Married men,Suburbs,Suburbs,English, New York,White suburban men,,Telephone survey,,,,,,Strongly or somewhat approve,Somewhat approve,,,,Version 3,,,,0.607628643512726,,,All others,Somewhat important,Important,,,12061.0
45607.0,The Democratic candidate,,Andrew Cuomo,,,,,,,,,,,,A few times a month,At least monthly,All others,Complete,,,,,Yes,Call 2,25.0,,,,,,,,,,,,,,,,,,4.0,The Democratic candidate,Omit,No,,The Democratic Party,The Democratic candidate,,,,,,,,Health care,,No,,,,,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,,59.0,,,Black,Black,National questionnaire,Black,,,Non-white,Black,,East,Something else,Other,,,,Female,Black women,Not too serious,Not serious,,"Cities 50,000-500,000","Cities over 50,000",English, New York,Other,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,,0.689436256885529,Non-white,,All others,Somewhat important,Important,No,,14617.0
48150.0,The Democratic candidate,Kirsten Gillibrand,Andrew Cuomo,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Once a week or more,At least monthly,Catholic/Attend weekly,Complete,,,,,No,Call 2,14.0,,,,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,1.0,The Democratic candidate,Omit,No,,The Democratic Party,The Democratic candidate,,,,,,,,Health care,,Yes,,No,,,,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,,118.0,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,,,Non-white,Hispanic/Latino,,East,Catholic,Catholic,,,The Democratic candidate,Male,Latino men,Very serious,Serious,Non married men,"Cities over 500,000","Cities over 50,000",English, New York,Other,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,,0.740023136138916,Non-white,,All others,Omit,Omit,No,,11368.0
32055.0,The Democratic candidate,Kirsten Gillibrand,Andrew Cuomo,,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Once a week or more,At least monthly,All others,Complete,No children in home,,,,Yes,Call 1,15.0,No,No,No,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,1.0,The Democratic candidate,Omit,No,,Omit,The Democratic candidate,,,,,,,,Omit,,No,,Yes,,,,45+,18-64,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Conservative,8.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,,,Non-white,Black,,East,Protestant/Other Non-Catholic Christian,Other Christian,,,The Democratic candidate,Male,Black men,Somewhat serious,Serious,Married men,"Cities over 500,000","Cities over 50,000",English, New York,Other,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,,,,Version 3,,,,0.601387798786163,Non-white,,All others,Somewhat important,Important,No,,10456.0
31759.0,The Democratic candidate,Kirsten Gillibrand,Andrew Cuomo,,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Once a week or more,At least monthly,All others,Complete,"Yes, both boys and girls",,,,Yes,Call 1,26.0,Yes,Yes,Yes,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,4.0,The Democratic candidate,Omit,No,,The Democratic Party,The Democratic candidate,,,,,,,,Omit,,No,,No,,,,45+,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,28.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,,,Non-white,Black,,East,Protestant/Other Non-Catholic Christian,Other Christian,,,The Democratic candidate,Female,Black women,Very serious,Serious,Non married women,"Cities 50,000-500,000","Cities over 50,000",English, New York,Other,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,,0.450514733791351,Non-white,,All others,Very important,Important,No,,14225.0
48973.0,The Democratic candidate,Kirsten Gillibrand,Andrew Cuomo,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Never,A few times a year or less,Catholic/Do not attend weekly,Complete,"Yes, only girls",,,,No,Call 2,2.0,Yes,No,Yes,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,2.0,The Democratic candidate,Omit,No,,The Democratic Party,The Democratic candidate,,,,,,,,Health care,,No,,Yes,,,,45+,18-64,Men with children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,136.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,,,White,White,,East,Catholic,Catholic,Catholic,,The Democratic candidate,Male,White men,Very serious,Serious,Married men,Suburbs,Suburbs,English, New York,White suburban men,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,,0.664960443973541,White Catholics,,All others,Very important,Important,No,All others,11729.0
67235.0,The Democratic candidate,Kirsten Gillibrand,Andrew Cuomo,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Never,A few times a year or less,All others,Complete,No children in home,,,,No,Call 3,15.0,No,No,No,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,1.0,The Democratic candidate,Omit,No,,The Democratic Party,The Democratic candidate,,,,,,,,Omit,,No,,No,,,,18-44,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,8.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,,,Non-white,Black,,East,None,None,,,The Democratic candidate,Female,Black women,Not too serious,Not serious,Non married women,"Cities over 500,000","Cities over 50,000",English, New York,Other,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,,0.558728098869324,Non-white,,All others,Very important,Important,No,,10456.0
48124.0,The Democratic candidate,Kirsten Gillibrand,Andrew Cuomo,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,,,,Complete,,,,,No,Call 2,15.0,,,,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,1.0,The Democratic candidate,Omit,No,,The Democratic Party,The Democratic candidate,,,,,,,,Omit,,Yes,,No,,,,18-44,18-64,,,,,,,,,,8.0,,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,,,Non-white,Hispanic/Latino,,East,,,,,The Democratic candidate,Female,Latino women,Omit,Omit,Non married women,"Cities over 500,000","Cities over 50,000",English, New York,Other,,Election day exit poll,,,,,,Omit,Omit,,,,Version 3,,,,0.587860763072968,Non-white,,All others,Very important,Important,No,,10456.0
48862.0,The Democratic candidate,Kirsten Gillibrand,Andrew Cuomo,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Once a week or more,At least monthly,All others,Complete,No children in home,,,,No,Call 2,2.0,No,No,No,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,2.0,The Democratic candidate,Omit,No,,The Democratic Party,The Democratic candidate,,,,,,,,Omit,,No,,Yes,,,,18-44,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,,136.0,,,Black,Black,National questionnaire,Black,,,Non-white,Black,,East,Something else,Muslim,,,The Democratic candidate,Female,Black women,Very serious,Serious,Married women,Suburbs,Suburbs,English, New York,Other,,Election day exit poll,,,,,,Omit,Omit,,,,Version 3,,,,0.654759526252747,Non-white,,All others,Very important,Important,No,,11729.0
48860.0,The Democratic candidate,Kirsten Gillibrand,Andrew Cuomo,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,A few times a month,At least monthly,All others,Complete,"Yes, both boys and girls",,,,No,Call 2,15.0,Yes,Yes,Yes,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,1.0,The Democratic candidate,Omit,No,,The Democratic Party,The Democratic candidate,,,,,,,,Immigration,,No,,No,,,,18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,8.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,,,Non-white,Black,,East,Something else,Muslim,,,The Democratic candidate,Female,Black women,Very serious,Serious,Non married women,"Cities over 500,000","Cities over 50,000",English, New York,Other,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Strongly disapprove,,,,Version 3,,,,0.505340397357941,Non-white,,All others,Very important,Important,No,,10456.0
