ID,SENWV18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,COALHH,CONTROLHOUSE,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVMANCHIN,FAVMCONL,FAVMORRISEY,FAVPARTY,FAVPELOSI,FAVREP2,FAVSENWV18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVWV18,KAVWV18A,KAVWV18B,LATINO,MANCHINLIB,MARRIED,MORRISEYLIB,NEC,NEC2,OPIOID18,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,UNIONHH12,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,ZIPCODE
13908.0,Joe Manchin,,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,,1.0,No,,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Favorable,,Unfavorable,Only Democratic Party,,Unfavorable,Only Joe Manchin,About the same,To express opposition to Donald Trump,Yes,1.0,,,,Yes,,,,,,,,,,,No,,Yes,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,,White,White,White,East,,The Democratic candidate,Female,White women,Very serious,Serious,Married women,"Cities 10,000-50,000",Small Cities/Rural,West Virginia,Other,,Telephone survey,,,,Hurt,Strongly or somewhat disapprove,Strongly disapprove,,,Version 2,,4.08610200881958,,,Very important,Important,26062.0
13909.0,Joe Manchin,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,,1.0,No,,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Omit,,Unfavorable,Only Democratic Party,,Unfavorable,Omit,About the same,Donald Trump was not a factor,No,3.0,,,,Omit,,,,,,,,,,,No,,No,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,,White,White,White,East,,The Democratic candidate,Female,White women,Very serious,Serious,Non married women,Rural,Small Cities/Rural,West Virginia,Other,,Telephone survey,,,,Helped,Strongly or somewhat disapprove,Strongly disapprove,,,Version 2,,2.11981391906738,,,Very important,Important,26201.0
13910.0,Joe Manchin,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,1.0,No,,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Omit,,Unfavorable,Only Democratic Party,,Unfavorable,Omit,About the same,To express opposition to Donald Trump,No,1.0,,,,No,,,,,,,,,,,No,,No,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,,White,White,White,East,,The Democratic candidate,Female,White women,Very serious,Serious,Non married women,Suburbs,Suburbs,West Virginia,White suburban women,,Telephone survey,,,,No impact,Strongly or somewhat disapprove,Strongly disapprove,,,Version 2,,0.613765776157379,,,Very important,Important,26590.0
13911.0,Patrick Morrisey,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,2.0,No,,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Unfavorable,,Favorable,Only Republican Party,,Favorable,Only Patrick Morrisey,Better,To express support for Donald Trump,No,4.0,,,,No,,,,,,,,,,,No,,Yes,,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,,White,White,White,East,,The Republican candidate,Female,White women,Not too serious,Not serious,Married women,"Cities 50,000-500,000","Cities over 50,000",West Virginia,Other,,Telephone survey,,,,No impact,Strongly or somewhat approve,Strongly approve,,,Version 2,,1.34659612178802,,,Not too important,Not important,25312.0
13912.0,Joe Manchin,,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,,3.0,No,,The Republican Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Unfavorable,Favorable,,Unfavorable,Only Republican Party,,Favorable,Only Joe Manchin,Better,Donald Trump was not a factor,No,3.0,,,,No,,,,,,,,,,,No,,No,,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,,White,White,White,East,,The Democratic candidate,Male,White men,Somewhat serious,Serious,Non married men,"Cities 10,000-50,000",Small Cities/Rural,West Virginia,Other,,Telephone survey,,,,Omit,Strongly or somewhat approve,Strongly approve,,,Version 2,,1.49077236652374,,,Somewhat important,Important,25701.0
13913.0,Other,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,1.0,No,,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Favorable,,Favorable,Only Democratic Party,,Unfavorable,Both,About the same,To express support for Donald Trump,Yes,1.0,,,,No,,,,,,,,,,,No,,No,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,,White,White,White,East,,Other,Male,White men,Not at all serious,Not serious,Non married men,Suburbs,Suburbs,West Virginia,White suburban men,,Telephone survey,,,,No impact,Strongly or somewhat approve,Strongly approve,,,Version 2,,0.415295362472534,,,Somewhat important,Important,26541.0
13914.0,Patrick Morrisey,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,3.0,No,,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Unfavorable,,Favorable,Only Republican Party,,Favorable,Only Patrick Morrisey,Better,To express support for Donald Trump,No,3.0,,,,No,,,,,,,,,,,No,,No,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,,White,White,White,East,,The Republican candidate,Male,White men,Not too serious,Not serious,Non married men,Rural,Small Cities/Rural,West Virginia,Other,,Telephone survey,,,,Helped,Strongly or somewhat approve,Strongly approve,,,Version 2,,1.54061150550842,,,Not too important,Not important,25264.0
13915.0,Joe Manchin,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,2.0,No,,Omit,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Unfavorable,,Unfavorable,Neither party,,Unfavorable,Neither,About the same,Donald Trump was not a factor,No,2.0,,,,No,,,,,,,,,,,No,,Yes,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,,White,White,White,East,,The Democratic candidate,Male,White men,Somewhat serious,Serious,Married men,Suburbs,Suburbs,West Virginia,White suburban men,,Telephone survey,,,,Omit,Strongly or somewhat approve,Somewhat approve,,,Version 2,,0.46709543466568,,,Somewhat important,Important,25427.0
13916.0,Patrick Morrisey,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,3.0,No,,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Unfavorable,Unfavorable,,Omit,Neither party,,Unfavorable,Omit,About the same,Donald Trump was not a factor,Yes,4.0,,,,No,,,,,,,,,,,No,,No,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,,White,White,White,East,,The Republican candidate,Male,White men,Very serious,Serious,Non married men,"Cities 10,000-50,000",Small Cities/Rural,West Virginia,Other,,Telephone survey,,,,No impact,Strongly or somewhat approve,Strongly approve,,,Version 2,,0.576418161392212,,,Not at all important,Not important,25801.0
13917.0,Other,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,,1.0,No,,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Unfavorable,,Unfavorable,Both parties,,Favorable,Neither,About the same,Donald Trump was not a factor,No,1.0,,,,No,,,,,,,,,,,No,,No,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,,White,White,White,East,,Other,Male,White men,Somewhat serious,Serious,Non married men,"Cities 10,000-50,000",Small Cities/Rural,West Virginia,Other,,Telephone survey,,,,Omit,Strongly or somewhat approve,Somewhat approve,,,Version 2,,1.49465833487739e-07,,,Somewhat important,Important,26501.0
