ID,SENPA18,GOVPA18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,MARRIED,NEC,NEC2,OPIOID18,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,UNIONHH12,VERSION,VOTE2016,WEIGHT,WHNCLINC,WOMEN,WOMEN2,ZIPCODE
63829.0,Bob Casey,,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 3,18.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,5.0,,,,,,,,,,The economy,,,,,,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,Independent Men,All others,Moderate,16.0,Moderate/Liberal Republicans,Moderate Independents,Black,Black,National questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Male,Black men,Very serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",,Pennsylvania,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,,Version 3,,0.471355646848679,,Very important,Important,15224.0
37722.0,Lou Barletta,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,9.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,No,3.0,,,,,,,,,,,,,,,,45+,65+,,,,,,,,,138.0,,,White,White,National questionnaire,White,White,White,East,,The Republican candidate,Female,White women,,,,Rural,Small Cities/Rural,,Pennsylvania,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,,Version 1,Omit,1.33599877357483,,,,17960.0
32745.0,Lou Barletta,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,14.0,The Republican Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,No,5.0,,,No,,,,,,,,,Yes,,,Omit,45+,18-64,,,,,,,,Moderate,151.0,,,White,White,State questionnaire,White,White,White,East,,The Republican candidate,Female,White women,Not too serious,Not serious,Married women,Suburbs,Suburbs,,Pennsylvania,White suburban women,,Election day exit poll,,,,Helped,,,,Yes,Version 2,,0.531652629375458,,Not at all important,Not important,15085.0
34558.0,,Tom Wolf,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,Call 1,3.0,,,,,,,,,,,,,1.0,The Democratic candidate,Omit,No,,,,,,,Health care,,,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,,128.0,,,Black,Black,National questionnaire,Black,Non-white,Black,East,Omit,,Male,Black men,,,,"Cities over 500,000","Cities over 50,000",,Pennsylvania,Other,,Election day exit poll,,,,,,,Omit,,Version 2,,0.239077150821686,,,,19128.0
48377.0,Bob Casey,Tom Wolf,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,17.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,,,5.0,The Democratic candidate,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,Good,Excellent or good,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Moderate,26.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Male,White men,,,,Suburbs,Suburbs,,Pennsylvania,White suburban men,No impact,Election day exit poll,,,,No impact,,,,,Version 4,,2.06832027435303,Yes,,,15001.0
48079.0,Bob Casey,Tom Wolf,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,17.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,5.0,The Democratic candidate,Omit,Omit,,,,,,,Health care,,,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,,26.0,,,White,White,National questionnaire,White,White,White,East,Omit,The Democratic candidate,Male,White men,,,,Suburbs,Suburbs,,Pennsylvania,White suburban men,,Election day exit poll,,,,,,,Omit,,Version 2,,2.06832027435303,,,,15001.0
64715.0,Bob Casey,Tom Wolf,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 3,18.0,,,,,,,Favorable,Both parties,Favorable,Better,,,5.0,The Democratic candidate,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",,,,Excellent,Excellent or good,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,16.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Female,Black women,,,,"Cities 50,000-500,000","Cities over 50,000",,Pennsylvania,Other,Helped,Election day exit poll,,,,Helped,,,,,Version 4,,0.311935722827911,,,,15224.0
59251.0,Bob Casey,Tom Wolf,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,11.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,4.0,The Democratic candidate,Major changes,Yes,,,,,,,Health care,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Liberal,88.0,Moderate/Liberal Republicans,Liberal Independents,White,White,National questionnaire,White,White,White,East,Justified,The Democratic candidate,Male,White men,,,,Suburbs,Suburbs,,Pennsylvania,White suburban men,,Election day exit poll,,,,,,,Too tough,,Version 2,,1.7744277715683,,,,17522.0
64842.0,Bob Casey,Tom Wolf,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 3,18.0,,,,,,,Favorable,Both parties,Favorable,Better,,,5.0,The Democratic candidate,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",,,,Excellent,Excellent or good,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,16.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Female,Black women,,,,"Cities 50,000-500,000","Cities over 50,000",,Pennsylvania,Other,Helped,Election day exit poll,,,,Helped,,,,,Version 4,,0.311935722827911,,,,15224.0
34269.0,Bob Casey,Tom Wolf,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,14.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,No,5.0,The Democratic candidate,,,,,,,,,,,,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Moderate,77.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Male,White men,,,,Rural,Small Cities/Rural,,Pennsylvania,Other,,Election day exit poll,,,,,Strongly or somewhat disapprove,Somewhat disapprove,,,Version 1,Hillary Clinton,0.924096345901489,,,,15344.0
