ID,SENMT18,HOUMT18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVGIANFORTE,FAVHOUMT18,FAVMCONL,FAVPARTY,FAVPELOSI,FAVREP2,FAVROSENDALE,FAVSENMT18,FAVTESTER,FAVWILLIAMS,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,HOU,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVMT18,KAVMT18A,KAVMT18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,ROSENDALELIB,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TESTERLIB,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,ZIPCODE
6364.0,Other,Other,Keep it as is,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,,1.0,Omit,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,Unfavorable,Neither,Unfavorable,,Unfavorable,,,,,Unfavorable,,,,3.0,,,The Democratic Party,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Shares my view of government,White,White,White,West,Too conservative,,Other,Male,White men,,,,Rural,Small Cities/Rural,Montana,Other,,Telephone survey,Too liberal,,,,,,,,Version 3,,5.25381231307983,,White Born-again/Evangelical Christians,,,59759.0
6418.0,Other,Other,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,1.0,,Omit,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Omit,,,,Omit,,Unfavorable,Unfavorable,Only Jon Tester,Favorable,,About the same,Donald Trump was not a factor,No,5.0,,,,Other,Yes,,,,,,,,,,,No,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,,Other,Female,White women,Somewhat serious,Serious,Non married women,Suburbs,Suburbs,Montana,White suburban women,,Telephone survey,,,,,No impact,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,2.46108245849609,,,Not at all important,Not important,59044.0
6731.0,Other,Other,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,1.0,,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,,,,,,,,3.0,Yes,Major changes,,Other,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",The economy,,,,No,No,Poor,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,Politically motivated,Other,Female,White women,,,Non married women,Rural,Small Cities/Rural,Montana,Other,No impact,Telephone survey,,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Omit,Version 1,Other,10.1446781158447,Yes,,,,59840.0
39834.0,Other,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 1,1.0,,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,,,,,1.0,Yes,Major changes,,Other,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration,,,,No,Yes,Good,Excellent or good,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,28.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,,White,White,White,West,,Politically motivated,Other,Female,White women,,,Married women,Rural,Small Cities/Rural,Montana,Other,Helped,Election day exit poll,,In the last month,In the last month,Before that,,Strongly or somewhat approve,Strongly approve,About right,Version 1,Donald Trump,0.0,No,,,,59901.0
40077.0,Other,Other,,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,All others,All others,Complete,,Call 1,1.0,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,,,,,4.0,Yes,Major changes,,Other,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Health care,,,,No,No,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,Independent Women,All others,Liberal,13.0,Moderate/Liberal Republicans,Liberal Independents,Other,American Indian,State questionnaire,,Other,Non-white,American Indian,West,,Politically motivated,Other,Female,All other races,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Montana,Other,Hurt,Election day exit poll,,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,About right,Version 1,Donald Trump,0.0,No,,,,59404.0
40609.0,Other,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,All others,Complete,,Call 1,1.0,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,,,,,4.0,Yes,Minor changes,,Other,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",The economy,,,,No,No,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,Independent Men,All others,Conservative,13.0,Moderate/Liberal Republicans,Conservative Independents,Other,American Indian,State questionnaire,,Other,Non-white,American Indian,West,,Politically motivated,Other,Male,All other races,,,Non married men,"Cities 50,000-500,000","Cities over 50,000",Montana,Other,Helped,Election day exit poll,,Before that,Before that,Before that,,Strongly or somewhat disapprove,Somewhat disapprove,Not tough enough,Version 1,Other,0.0,No,,,,59404.0
41030.0,Other,Other,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 1,1.0,,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,,,,,,,,2.0,Yes,Major changes,,Other,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",The economy,,,,No,Yes,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,60.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,Politically motivated,Other,Male,White men,,,Married men,Suburbs,Suburbs,Montana,White suburban men,Helped,Election day exit poll,,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,About right,Version 1,Other,0.0,No,,,,59823.0
41267.0,Other,Other,Omit,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,1.0,Omit,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,Unfavorable,Neither,Unfavorable,,Unfavorable,,,,,Unfavorable,,,,4.0,,,Omit,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,,96.0,,,White,White,State questionnaire,Shares my view of government,White,White,White,West,Too liberal,,Other,Male,White men,,,,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,Too liberal,,,,,,,,Version 3,,0.0,,All others,,,59647.0
53405.0,Other,Other,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Call 2,1.0,,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,,,,,2.0,No,,The Republican Party,Other,,,,,,,,Health care,,,,No,Yes,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,51.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,,White,White,White,West,,,Other,Female,White women,Very serious,Serious,Married women,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,,,,,,Strongly or somewhat disapprove,Somewhat disapprove,,Version 3,,0.0,,White Born-again/Evangelical Christians,Somewhat important,Important,59602.0
53546.0,Other,Other,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete,,Call 2,1.0,,Omit,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,,,,Neither party,,Unfavorable,Unfavorable,Neither,Unfavorable,,About the same,Donald Trump was not a factor,No,3.0,,,,Other,No,,,,,,,,,,,No,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,Independent Men,All others,Moderate,1.0,Moderate/Liberal Republicans,Moderate Independents,Other,American Indian,State questionnaire,,Other,Non-white,American Indian,West,,,Other,Male,All other races,Not too serious,Not serious,Non married men,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,,,,,No impact,Strongly or somewhat approve,Somewhat approve,,Version 2,,0.0,,,Not too important,Not important,59725.0
