ID,GOVMN18,SENMN18,SEN2MN18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WOMEN,WOMEN2,ZIPCODE
13503.0,Jeff Johnson,Jim Newberger,Karin Housley,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,7.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,No,4.0,The Republican candidate,,No,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women,Somewhat serious,Serious,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,No impact,,,,Version 2,,0.620315909385681,,Not too important,Not important,56267.0
13504.0,Jeff Johnson,Jim Newberger,Karin Housley,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,6.0,The Republican Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,No,2.0,The Republican candidate,,No,,,,,,,,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women,Not too serious,Not serious,,Suburbs,Suburbs,Minnesota,White suburban women,,Telephone survey,,,,Helped,,,,Version 2,,0.776311039924622,,Somewhat important,Important,55318.0
13505.0,Tim Walz,Amy Klobuchar,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,3.0,The Democratic Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Favorable,Both parties,Favorable,About the same,Donald Trump was not a factor,No,1.0,The Democratic candidate,,Omit,,,,,,,,No,,,,45+,65+,,,,,,,,,,,,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women,Very serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Helped,,,,Version 2,,0.572751224040985,,Very important,Important,55429.0
13506.0,Jeff Johnson,Amy Klobuchar,Karin Housley,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,7.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,No,3.0,The Republican candidate,,No,,,,,,,,No,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Democratic candidate,Male,White men,Omit,Omit,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,Helped,,,,Version 2,,2.57539081573486,,Not too important,Not important,55336.0
13507.0,Tim Walz,Amy Klobuchar,Tina Smith,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,1.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,No,3.0,The Democratic candidate,,Yes,,,,,,,,No,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women,Very serious,Serious,,Suburbs,Suburbs,Minnesota,White suburban women,,Telephone survey,,,,Omit,,,,Version 2,,0.250219464302063,,Very important,Important,55923.0
13508.0,Tim Walz,Amy Klobuchar,Tina Smith,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,7.0,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,No,4.0,The Democratic candidate,,Yes,,,,,,,,No,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women,Very serious,Serious,,Suburbs,Suburbs,Minnesota,White suburban women,,Telephone survey,,,,No impact,,,,Version 2,,0.76331615447998,,Very important,Important,56549.0
13509.0,Tim Walz,Amy Klobuchar,Tina Smith,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,5.0,The Democratic Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,No,1.0,The Democratic candidate,,Yes,,,,,,,,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,Midwest,Omit,The Democratic candidate,Male,White men,Somewhat serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Hurt,,,,Version 2,,0.804023802280426,,Very important,Important,55414.0
13510.0,Tim Walz,Amy Klobuchar,Tina Smith,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,5.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Neither party,Unfavorable,Better,To express opposition to Donald Trump,No,1.0,The Democratic candidate,,No,,,,,,,,No,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,,,,,Black,Black,State questionnaire,Black,Non-white,Black,Midwest,Justified,The Democratic candidate,Male,Black men,Very serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,No impact,,,,Version 2,,0.5627760887146,,Somewhat important,Important,55408.0
13511.0,Tim Walz,Jim Newberger,Other,,,,,,,,,,,Complete,,3.0,Omit,,,,,,Omit,Omit,Omit,About the same,To express support for Donald Trump,No,1.0,The Democratic candidate,,Omit,,,,,,,,,,,,,,,,,,,,,,,,,,,State questionnaire,,,,Midwest,Omit,The Republican candidate,Male,,Omit,Omit,,Suburbs,Suburbs,Minnesota,,,Telephone survey,,,,Omit,,,,Version 2,,0.893469035625458,,Not at all important,Not important,55311.0
13512.0,Jeff Johnson,Jim Newberger,Karin Housley,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,3.0,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,Yes,2.0,The Republican candidate,,No,,,,,,,,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,Midwest,Omit,The Republican candidate,Male,White men,Somewhat serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,No impact,,,,Version 2,,0.776311039924622,,Somewhat important,Important,55433.0
