ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENMI06,GOVMI06,PROPBMI,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BRNAGAIN,EDUC,UNION4,CHILD,BUSH4,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPVALUES,IMPHEALTHS,JOBSIT2,STECMI,STEC2,TIMESEN,TIMESEN3D,TIMESENWK,FALLBHND,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,MOMS,PARENTS,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
1608.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.162350937724113,Debbie Stabenow (Dem),Jennifer Granholm (Dem),No,Female,Black,75 or over,Democratic,Liberal,,Protestant,Once a week,No,Some college or associate degree,"Yes, someone else does",No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Worse today,Poor,Not so good/Poor,,,,Are falling behind financially,To express opposition to George W Bush,Non-white female,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,,,Protestant/Other Christian,Non-White,All others,All others,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,No,"Else in HH (member in household, but not voter",All others, Women without children,Black,"Cities over 500,000","Cities over 50,000",14.0,Strong Democratic,Wayne County,High Density Urban,Urban,Urban Core,Very downscale,48204.0
1609.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.87502521276474,Did not vote,Did not vote,Yes,Male,Black,50-59,Something else,,$15k-$30k,None,More than once a week,No,Some college or associate degree,"Yes, someone else does",No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Not at all important,Extremely important,Worse today,Not so good,Not so good/Poor,,,,Have just enough money to maintain your standard of living,George W Bush was not a factor,Non-white male,Non-white,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,None,Non-White,All others,All others,Weekly,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,No,"Else in HH (member in household, but not voter",All others,Men without children,Black,Suburbs,Suburbs,13.0,Unoppsed Democratic,Wayne County,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,48146.0
1610.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.26760876178741,Debbie Stabenow (Dem),Jennifer Granholm (Dem),No,Male,White,60-64,Democratic,Conservative,$50k-$75k,Catholic,Once a week,Yes,High school graduate,"Yes, I do",No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,Very important,Worse today,Poor,Not so good/Poor,,,,Have just enough money to maintain your standard of living,George W Bush was not a factor,White male,White male,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,All others,White Evangelical Born Again Christians,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,Yes,Yes,I am (voter is member),All others,Men without children,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Democratic,University Belt,Town,Rural,Rural,Downscale,49829.0
1611.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.31410527229309,Other,Jennifer Granholm (Dem),No,Male,White,50-59,Independent,Liberal,$50k-$75k,None,Never,No,College graduate,No one does,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Not at all important,Not at all important,Not at all important,Somewhat important,Very important,About the same,Not so good,Not so good/Poor,,,,Are getting ahead financially,George W Bush was not a factor,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,None,White None,All others,All others,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,Men without children,White,Rural,Small Cities/Rural,1.0,Strong Democratic,North/Northeast,Extremely Low Density Rural,Rural,Rural,Very downscale,48739.0
1612.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.592335164546967,Michael Bouchard (Rep),Dick DeVos (Rep),,Female,White,50-59,Republican,Conservative,$50k-$75k,Protestant,More than once a week,Yes,College graduate,No one does,No,Somewhat approve,No answer,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Better today,Not so good,Not so good/Poor,,,,Have just enough money to maintain your standard of living,To express support for George W Bush,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,No answer,Approve,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,2.0,Strong Republican,Southwest,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,49428.0
1613.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.452786505222321,Debbie Stabenow (Dem),Jennifer Granholm (Dem),Yes,Female,Other,60-64,Democratic,Moderate,$200k or more,Other Christian,A few time a year,Yes,High school graduate,No one does,No,Strongly disapprove,Withdraw some troops,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Somewhat important,Very important,About the same,Good,Excellent/Good,,,,Have just enough money to maintain your standard of living,To express opposition to George W Bush,Non-white female,Non-white,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,$100k or more,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others, Women without children,American Indian,Rural,Small Cities/Rural,4.0,Strong Republican,North/Northeast,Extremely Low Density Rural,Rural,Rural,Very downscale,49310.0
1614.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.763428092002869,Michael Bouchard (Rep),Dick DeVos (Rep),Yes,Male,,50-59,Independent,Moderate,,Catholic,A few times a month,No,Postgraduate study,"Yes, I do",No,Somewhat disapprove,No answer,Somewhat disapprove,Not at all important,Somewhat important,Extremely important,Somewhat important,Extremely important,Worse today,Poor,Not so good/Poor,,,,Are getting ahead financially,George W Bush was not a factor,,,45-59,50-64,18-64,30-59,Independent/Something else,,,Catholic,Non-White,All others,All others,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,No answer,Disapprove,Yes,Yes,I am (voter is member),All others,Men without children,,Suburbs,Suburbs,5.0,Strong Democratic,University Belt,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,48430.0
1615.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.950706601142883,Debbie Stabenow (Dem),Jennifer Granholm (Dem),No,Male,White,60-64,Democratic,Moderate,$200k or more,None,Never,No,College graduate,"Yes, someone else does",No,Strongly disapprove,Withdraw some troops,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,About the same,Poor,Not so good/Poor,,,,Are getting ahead financially,To express opposition to George W Bush,White male,White male,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,$100k or more,None,White None,All others,All others,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,No,"Else in HH (member in household, but not voter",All others,Men without children,White,Suburbs,Suburbs,7.0,Strong Republican,University Belt,Low Density Rural,70s Suburbs,Urban Perimeter,Very upscale,48130.0
1616.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.08886504173279,Michael Bouchard (Rep),Dick DeVos (Rep),Yes,Male,White,65-74,Republican,Conservative,$30k-$50k,Protestant,More than once a week,Yes,Some college or associate degree,No one does,No,Somewhat approve,Send more troops,Somewhat approve,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,Worse today,Not so good,Not so good/Poor,,,,Have just enough money to maintain your standard of living,To express support for George W Bush,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others,Men without children,White,Suburbs,Suburbs,6.0,Strong Republican,Southwest,Suburb,80s Suburbs,Urban Perimeter,Very upscale,49009.0
1617.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.628616154193878,Michael Bouchard (Rep),Dick DeVos (Rep),No,Male,White,60-64,Independent,Conservative,$30k-$50k,None,Never,No,Some college or associate degree,No one does,No,Somewhat approve,Maintain the same number of troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Not at all important,Very important,Worse today,Poor,Not so good/Poor,,,,Have just enough money to maintain your standard of living,George W Bush was not a factor,White male,White male,60 or over,50-64,18-64,60 or over,Independent/Something else,Less than $50k,Less than $100k,None,White None,All others,All others,Never,All others,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others,Men without children,White,"Cities 50,000-500,000","Cities over 50,000",14.0,Strong Democratic,Wayne County,High Density Urban,Urban,Urban Core,Downscale,48126.0
