ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENCA06,GOVCA06,AGCA06,PROOP85CA,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,EDUC,UNION4,CHILD,LATINO,BUSH4,IRAQWAR,ARNDJOB4,ARNDJOB2,ARNLDLIB,SAFER06,BORNUSA,STECCA,STEC2,ABORTION,ABORT2,IMMDEPORT,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,MOMS,PARENTS,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
603.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.01461434364319,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),No,Female,Hispanic/Latino,30-39,Independent,Liberal,$30k-$50k,Some college or associate degree,"Yes, someone else does",Yes,Yes,Strongly disapprove,Strongly disapprove,Strongly disapprove,Disapprove,No Answer,Less safe from terrorism,Yes,Poor,Not so good/Poor,Illegal in all cases,Illegal in all/most cases,Offered a chance to apply for legal status,Non-white female,Non-white,30-44,30-39,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter)",Women with children,Women with children,Hispanic/Latino,English,Suburbs,Suburbs,43.0,Strong Democratic,Southern California,High Density Urban,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,92335.0
604.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.462080031633377,Dick Mountjoy (Rep),Phil Angelides (Dem),Jerry Brown (Dem),Yes,Male,Other,60-64,Democratic,Conservative,Under $15k,Did not complete high school,"Yes, I do and someone else does",No,No,Strongly approve,Strongly approve,Strongly Approve,Approve,About right,Safer from terrorism,Yes,Poor,Not so good/Poor,Illegal in all cases,Illegal in all/most cases,No Answer,Non-white male,Non-white,60+,50-64,18-64,60+,Democratic,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Approve,Approve,Yes,Yes,I am (voter is member),All others,Men without children,American Indian,English,"Cities 50,000 - 500,000","Cities over 50,000",18.0,Strong Democratic,Inland/Valley,Suburb,Urban,Urban Core,Very downscale,95206.0
605.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.85770738124847,Dick Mountjoy (Rep),Arnold Schwarzenegger (Rep),Did not vote for attorney general,No,Male,White,65-74,Independent,Conservative,$30k-$50k,College graduate,"Yes, I do",No,No,Somewhat approve,Strongly approve,Strongly Approve,Approve,About right,Less safe from terrorism,Yes,Poor,Not so good/Poor,Legal in most cases,Legal in all/most cases,Deported to the country they came from,White male,White male,60+,65+,65+,60+,Independent/Something else,Less than $50k,Less than $100k,College graduate,At least some college,Approve,Approve,Yes,Yes,I am (voter is member),All others,Men without children,White,English,Suburbs,Suburbs,41.0,Strong Republican,Southern California,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,92252.0
606.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.518709301948547,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),Jerry Brown (Dem),No,Male,White,65-74,Democratic,Liberal,$15k-$30k,Some college or associate degree,No one does,No,No,Strongly disapprove,Somewhat approve,Strongly Approve,Approve,About right,Less safe from terrorism,Yes,Good,Excellent/Good,Legal in most cases,Legal in all/most cases,Deported to the country they came from,White male,White male,60+,65+,65+,60+,Democratic,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Approve,No,No,No (no union member in household),All others,Men without children,White,English,Suburbs,Suburbs,2.0,Strong Republican,Inland/Valley,Low Density Rural,70s Suburbs,Urban Perimeter,Very downscale,96007.0
607.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.10063111782074,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),No,Male,White,65-74,Independent,Moderate,$50k-$75k,High school graduate,No one does,No,No,Strongly disapprove,Strongly disapprove,Somewhat approve,Approve,About right,No Answer,Yes,Good,Excellent/Good,Legal in most cases,Legal in all/most cases,Offered a chance to apply for legal status,White male,White male,60+,65+,65+,60+,Independent/Something else,$50k or more,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),All others,Men without children,White,English,"Cities over 500,000","Cities over 50,000",15.0,Strong Democratic,Bay Area,High Density Urban,Urban,Urban Core,Very upscale,95124.0
608.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.96638870239258,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),Chuck Poochigian (Rep),Yes,Male,White,40-44,Republican,Conservative,$75k-$100k,College graduate,No one does,Yes,No,Strongly approve,Somewhat approve,Strongly Approve,Approve,About right,Safer from terrorism,Yes,Good,Excellent/Good,Legal in all cases,Legal in all/most cases,Offered a chance to apply for legal status,White male,White male,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),All others,Men with children,White,English,"Cities 50,000 - 500,000","Cities over 50,000",19.0,Strong Republican,Inland/Valley,Suburb,Urban,Urban Core,Very upscale,93720.0
609.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.90576559305191,Dianne Feinstein (Dem),Did not vote for governor,Did not vote for attorney general,Did not vote on Proposition 85,Male,Other,50-59,Democratic,Liberal,$200k or more,Postgraduate study,"Yes, I do",No,No,Strongly disapprove,Strongly disapprove,Strongly disapprove,Disapprove,No Answer,No Answer,No,No Answer,No Answer,Legal in all cases,Legal in all/most cases,Offered a chance to apply for legal status,Non-white male,Non-white,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),All others,Men without children,Other,English,"Cities over 500,000","Cities over 50,000",28.0,Strong Democratic,Los Angeles County,Extremely High Density Urban,Urban,Urban Core,Upscale,91343.0
610.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.33620610833168,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),Yes,Female,White,75 or over,Something else,Conservative,$15k-$30k,High school graduate,"Yes, someone else does",No,No,Somewhat approve,Strongly disapprove,Somewhat approve,Approve,Too liberal,Less safe from terrorism,Yes,Good,Excellent/Good,Legal in most cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,60+,65+,65+,60+,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Approve,Disapprove,Yes,No,"Else in HH (member in household, but not voter)",All others,Women without children,White,English,Suburbs,Suburbs,38.0,Strong Democratic,Los Angeles County,Extremely High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,90650.0
611.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.767612814903259,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),Yes,Female,Hispanic/Latino,25-29,Democratic,Moderate,$30k-$50k,Some college or associate degree,No one does,Yes,Yes,Strongly disapprove,Strongly disapprove,Strongly Approve,Approve,About right,Less safe from terrorism,Yes,Good,Excellent/Good,Legal in most cases,Legal in all/most cases,Offered a chance to apply for legal status,Non-white female,Non-white,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),Women with children,Women with children,Hispanic/Latino,English,"Cities 50,000 - 500,000","Cities over 50,000",11.0,Competitive,Inland/Valley,Extremely High Density Urban,Urban,Urban Core,Downscale,95207.0
612.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.32669389247894,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),Jerry Brown (Dem),No,Female,White,50-59,Independent,Moderate,$50k-$75k,Some college or associate degree,"Yes, someone else does",No,No,Strongly disapprove,Strongly disapprove,Somewhat approve,Approve,About right,No Answer,Yes,Good,Excellent/Good,Legal in all cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter)",All others,Women without children,White,English,"Cities over 500,000","Cities over 50,000",50.0,Competitive,Southern California,High Density Urban,Urban,Urban Core,Upscale,92109.0
