ID,WEIGHT,FLDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMPMAR17,BIDENLIB,CALL,CDNUM,CUBAN,CUBANPR4,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVDEM20,FAVSANDERS,GEOCODE,GUNPOLICYDEM20,ISSDEM20B,LATINO,LGBT,MAJCRISISMAR17,MARRIED,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,PUERTORICAN,QLT20DEMPRIB,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,REL5,RELIGN18,RELWHITE,SANDERSLIB,SEX,SEXBYRACE,SEXWED,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,SOCSECDEM20,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIMEJT20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,UNFAIRBIDEN20,UNFAIRDEM20,UNFAIRSANDERS20,VERSION,VOTENOV20,WINORISS20,ZIPCODE
277277774.0,0.534692049026489,Bernie Sanders,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Not liberal enough,,18.0,No,No,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,2.0,Bernie Sanders,Climate change,No,,Bernie Sanders,No,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,No,Cares about people like me,White,White,State questionnaire,White,White,White,South,,,,About right,Female,White women,Non married women,,Suburbs,Suburbs,Bernie Sanders,English,Florida,White suburban women,Telephone survey,,,,,Omit,Omit,Omit,Version 1,,Can beat Donald Trump,34994.0
277277775.0,0.259168654680252,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,About right,,23.0,No,No,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,5.0,Bernie Sanders,Health care,No,,Bernie Sanders,No,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,No,Can bring needed change,White,White,State questionnaire,White,White,White,South,,,,About right,Female,White women,Non married women,,"Cities 50,000-500,000","Cities over 50,000",Joe Biden,English,Florida,Other,Telephone survey,,,,,No,Neither of them,No,Version 1,,Can beat Donald Trump,33179.0
277277776.0,0.954627096652985,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,About right,,18.0,No,No,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,2.0,Joe Biden,Race relations,No,,Joe Biden,Yes,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,No,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,South,,,,Too liberal,Male,Black men,Married men,,Suburbs,Suburbs,Joe Biden,English,Florida,Other,Telephone survey,,,,,No,Only Sanders did,Yes,Version 1,,Can beat Donald Trump,34987.0
277277777.0,0.524683237075806,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Not liberal enough,,12.0,No,No,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,3.0,Bernie Sanders,Health care,No,,Bernie Sanders,No,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,No,Cares about people like me,White,White,State questionnaire,White,White,White,South,,,,About right,Female,White women,Non married women,,Suburbs,Suburbs,Bernie Sanders,English,Florida,White suburban women,Telephone survey,,,,,No,Neither of them,No,Version 1,,Can beat Donald Trump,33576.0
277277778.0,0.530499041080475,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,About right,,18.0,No,No,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,2.0,Omit,Climate change,No,,Joe Biden,No,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Moderate,Moderate or Conservative,Moderate,,Yes,No,Can unite the country,White,White,State questionnaire,White,White,White,South,,,,Too liberal,Female,White women,Non married women,,Suburbs,Suburbs,Joe Biden,English,Florida,White suburban women,Telephone survey,,,,,Omit,Omit,Omit,Version 1,,Agrees with you on major issues,34983.0
277277779.0,0.786636173725128,Joe Biden,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,About right,,10.0,No,No,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,2.0,Joe Biden,Race relations,No,,Joe Biden,Yes,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,No,No,Has the right temperament,White,White,State questionnaire,White,White,White,South,,,,Omit,Female,White women,Married women,,Suburbs,Suburbs,Joe Biden,English,Florida,White suburban women,Telephone survey,,,,,No,Neither of them,No,Version 1,,Can beat Donald Trump,34787.0
277277780.0,0.946241557598114,Other,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Omit,,3.0,No,No,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,1.0,Omit,Income inequality,No,,Omit,No,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Moderate,Moderate or Conservative,Moderate,,Yes,No,Can unite the country,White,White,State questionnaire,White,White,White,South,,,,Too liberal,Female,White women,Non married women,,Suburbs,Suburbs,Omit,English,Florida,White suburban women,Telephone survey,,,,,No,Omit,Omit,Version 1,,Can beat Donald Trump,32669.0
277277781.0,1.08825552463531,Other,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,About right,,18.0,No,No,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,2.0,Joe Biden,Health care,No,,Joe Biden,Yes,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,No,Has the right temperament,White,White,State questionnaire,White,White,White,South,,,,About right,Female,White women,Married women,,Suburbs,Suburbs,Joe Biden,English,Florida,White suburban women,Telephone survey,,,,,No,Neither of them,No,Version 1,,Can beat Donald Trump,34996.0
277277782.0,0.565626978874207,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,About right,,16.0,No,No,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,4.0,Joe Biden,Health care,No,,Joe Biden,No,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,No,Can unite the country,White,White,State questionnaire,White,White,White,South,,,,Too liberal,Female,White women,Non married women,,Suburbs,Suburbs,Joe Biden,English,Florida,White suburban women,Telephone survey,,,,,No,Only Sanders did,Yes,Version 1,,Can beat Donald Trump,34285.0
277277783.0,0.747814178466797,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,About right,,3.0,No,No,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,1.0,Joe Biden,Climate change,No,,Joe Biden,Yes,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,No,Can bring needed change,White,White,State questionnaire,White,White,White,South,,,,Too liberal,Female,White women,Married women,,Suburbs,Suburbs,Joe Biden,English,Florida,White suburban women,Telephone survey,,,,,No,Only Sanders did,Yes,Version 1,,Can beat Donald Trump,32669.0
