ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,AZRPRS12,SEX,QRACEAI,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,LATINO,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEAZ12,VOTENOV12,WORK,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIMTH,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,CAMPREP12,FAVMCCA,GETAHEAD,IMMPRIME,RACE,SPANISHQ,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
150094.0,Arizona,57.0,Call 1,Complete,Election day exit poll,0.349992483854294,Did not vote,Female,White,25-29,25-29,Moderate,Something else,"$50,000-$99,999",High school or less,No,,,,One of several important factors,No,,The economy,Has strong moral character,,,Neutral,Just today,Probably vote for the Republican nominee,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,,A factor,Important,,,Neutral,Neither,Last few days,In the last month,No,All others,,,,Has strong moral character,About the same,Favorable,,,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Downscale,85323.0
149853.0,Arizona,24.0,Call 1,Complete,Election day exit poll,0.224971145391464,Did not vote,Male,White,65 or over,65 or over,Moderate,Republican,"$50,000-$99,999",Postgraduate study,No,,,,A minor factor,No,,Federal budget deficit,Can defeat Barack Obama,,,Somewhat oppose,In the last few days,Probably vote for the Republican nominee,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,A factor,Not important,,,Oppose,Neither,Last few days,In the last month,No,All others,,,,Can defeat Barack Obama,More negative this year,Favorable,,,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,85375.0
148005.0,Arizona,50012.0,Telephone Survey,Complete,Telephone survey,22.0940341949463,Newt Gingrich,Male,White,40-44,40-44,Somewhat conservative,Independent,"$30,000-$49,999",High school or less,No,,,,,No,,Illegal immigration,Can defeat Barack Obama,,,Somewhat support,Before that,Definitely vote for the Republican nominee,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,,,Support,Tea Party supporter and not born-again,Earlier than that,Earlier than that,Yes,All others,,,,Can defeat Barack Obama,About the same,Favorable,,,White,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Version 1,High Density Urban,Urban,Urban Core,Upscale,85202.0
148205.0,Arizona,50003.0,Telephone Survey,Complete,Telephone survey,14.1174354553223,Newt Gingrich,Male,White,30-39,30-39,Somewhat conservative,Independent,"$50,000-$99,999",Some college/assoc. degree,No,Omit,Romney,Working in business,,Yes,I like my candidate but with reservations,,,Other,A great deal,Somewhat support,,,Yes,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Omit,Born again/Think religious values of candidate matter a great deal,,,Something else,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,No,All others,All others,,,,Falling behind financially,Offered a chance to apply for citizenship,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,85375.0
148518.0,Arizona,50015.0,Telephone Survey,Complete,Telephone survey,12.0368366241455,Newt Gingrich,Female,White,50-59,50-59,Somewhat conservative,Independent,"$50,000-$99,999",College graduate,No,Illegal in most cases,Gingrich,Working in government,,Yes,I like my candidate but with reservations,,,Protestant,A great deal,Somewhat support,,,No,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,,,Holding steady financially,Allowed to stay as temporary workers,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 2,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale,85225.0
148358.0,Arizona,50020.0,Telephone Survey,Complete,Telephone survey,10.6231966018677,Newt Gingrich,Female,White,45-49,45-49,Somewhat conservative,Republican,,College graduate,No,Illegal in most cases,Santorum,Working in business,,Yes,I strongly favor my candidate,,,Protestant,Not much,Somewhat support,,,No,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,,,,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,,,Holding steady financially,Allowed to stay as temporary workers,White,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,West,Version 2,Extremely Low Density Rural,Urban,Urban Core,Downscale,85365.0
148474.0,Arizona,50020.0,Telephone Survey,Complete,Telephone survey,10.6004400253296,Newt Gingrich,Female,White,30-39,30-39,Somewhat conservative,Independent,"$30,000-$49,999",College graduate,No,Legal in most cases,Romney,Working in government,,No,I dislike the other candidates,,,Protestant,Not at all,Neutral,,,Yes,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Legal,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Neutral,Neither,,,No,All others,No,White Protestant non-evangelical,Working women,,,,Holding steady financially,Offered a chance to apply for citizenship,White,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,West,Version 2,Extremely Low Density Rural,Urban,Urban Core,Downscale,85365.0
148466.0,Arizona,50006.0,Telephone Survey,Complete,Telephone survey,7.79726457595825,Newt Gingrich,Male,White,40-44,40-44,Somewhat liberal,Republican,,Some college/assoc. degree,,Omit,Omit,Omit,,Yes,I like my candidate but with reservations,,,Protestant,Somewhat,Somewhat support,,,Yes,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,,,,No college degree,More than High school graduate,Omit,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,,,Falling behind financially,Offered a chance to apply for citizenship,White,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 2,High Density Urban,Urban,Urban Core,Upscale,85029.0
147951.0,Arizona,50022.0,Telephone Survey,Complete,Telephone survey,7.72153091430664,Newt Gingrich,Male,White,50-59,50-59,Very conservative,Republican,,College graduate,No,,,,,Yes,,The economy,Has the right experience,,,Somewhat support,Before that,Definitely vote for the Republican nominee,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,,,,College graduate,More than High school graduate,,,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Earlier than that,No,White Born-again/Evangelical Christians,,,,Has the right experience,About the same,Favorable,,,White,English,State questionnaire,Suburbs,Suburbs,2.0,West,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale,85704.0
147935.0,Arizona,50005.0,Telephone Survey,Complete,Telephone survey,7.49425411224365,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Independent,"Under $30,000",Some college/assoc. degree,No,,,,,No,,Federal budget deficit,Is a true conservative,,,Strongly support,Omit,Omit,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,,,,Support,Tea Party supporter and not born-again,Omit,Omit,Yes,All others,,,,Is a true conservative,About the same,Unfavorable,,,White,English,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,West,Version 1,Low Density Rural,Rural,Rural,Downscale,86404.0
