ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,IARPRS12,SEX,QRACE3,XAGE8,PARTYIA,INCOME12RIA,EDUC12R,BIZVPOL,BREAK12CAU,BRNAGAIN,DESCRIBS12RIA,ISSREP12CAU,QLTIA12R,TEAPARTY,TIMEIA12,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BREAKFACT,BREAKIMP,TEAPARTY3,TIMEPRIFEWDAYS,TIMEPRIMTH,WHTEVANG,XQLTREP12,PREVCAU12R,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
20239.0, Iowa,1.0,Call 3,Complete,Election day exit poll,0.423388808965683,Michele Bachmann,,White,50-59,Independent,"$50,000-$99,999",Some college/assoc. degree,Working in business,A minor factor,Yes,I like my candidate but with reservations,The economy,Is a true conservative,Neutral,Just today,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,A factor,Not important,Neutral,Last few days,In the last month,White Born-again/Evangelical Christians,Is a true conservative,Yes,State questionnaire,Rural,Small Cities/Rural,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,52172.0
20227.0, Iowa,49.0,Call 2,Complete,Election day exit poll,1.35551738739014,Michele Bachmann,Male,,65 or over,Republican,,High school or less,Working in government,Omit,,I strongly favor my candidate,Omit,Can defeat Barack Obama,Strongly support,Before that,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,,,,No college degree,High school graduate or less,Omit,Omit,Support,Earlier than that,Earlier than that,,Can defeat Barack Obama,Yes,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale,52302.0
20200.0, Iowa,49.0,Call 2,Complete,Election day exit poll,1.61422717571259,Michele Bachmann,Female,White,65 or over,Republican,,,Working in government,One of several important factors,,I strongly favor my candidate,The economy,Can defeat Barack Obama,Omit,In December,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,,,,,,A factor,Important,Omit,Earlier than that,In the last month,,Can defeat Barack Obama,Yes,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale,52302.0
20199.0, Iowa,20.0,Call 3,Complete,Election day exit poll,0.463516801595688,Michele Bachmann,,White,60-64,Republican,"$30,000-$49,999",High school or less,Working in business,One of several important factors,Yes,I strongly favor my candidate,The economy,Is a true conservative,Strongly support,Just today,45-65,60+,45+,60+,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,A factor,Important,Support,Last few days,In the last month,White Born-again/Evangelical Christians,Is a true conservative,Yes,State questionnaire,Rural,Small Cities/Rural,3.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Upscale,50072.0
20175.0, Iowa,1.0,Call 3,Complete,Election day exit poll,0.423388808965683,Michele Bachmann,,White,50-59,Independent,"$50,000-$99,999",High school or less,Working in business,One of several important factors,Yes,I strongly favor my candidate,Federal budget deficit,Is a true conservative,Strongly support,Just today,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,A factor,Important,Support,Last few days,In the last month,White Born-again/Evangelical Christians,Is a true conservative,Yes,State questionnaire,Rural,Small Cities/Rural,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,52172.0
20157.0, Iowa,86.0,Call 3,Complete,Election day exit poll,1.40744602680206,Michele Bachmann,Male,White,50-59,Republican,"$30,000-$49,999",High school or less,Working in government,One of several important factors,Yes,I strongly favor my candidate,The economy,Has strong moral character,Strongly support,In the last few days,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,A factor,Important,Support,Last few days,In the last month,White Born-again/Evangelical Christians,Has strong moral character,No,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,Midwest,Version 1,Low Density Rural,Urban,Urban Core,Upscale,51503.0
20134.0, Iowa,83.0,Call 3,Complete,Election day exit poll,0.569322526454926,Michele Bachmann,Male,,40-44,Republican,"Under $30,000",College graduate,Working in government,Not a factor at all,Yes,I dislike the other candidates,The economy,Can defeat Barack Obama,Strongly support,Before that,30-44,30-59,17-44,30-44,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Not a factor,Not important,Support,Earlier than that,Earlier than that,,Can defeat Barack Obama,Yes,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,50323.0
20113.0, Iowa,1.0,Call 3,Complete,Election day exit poll,0.882628381252289,Michele Bachmann,Female,,50-59,Republican,"$50,000-$99,999",Some college/assoc. degree,Working in business,A minor factor,Yes,I like my candidate but with reservations,Federal budget deficit,Is a true conservative,Strongly support,Just today,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,A factor,Not important,Support,Last few days,In the last month,,Is a true conservative,Yes,State questionnaire,Rural,Small Cities/Rural,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,52172.0
20099.0, Iowa,20.0,Call 3,Complete,Election day exit poll,1.03246057033539,Michele Bachmann,Female,White,60-64,Independent,"$100,000 or more",Postgraduate study,Omit,A minor factor,No,I dislike the other candidates,Abortion,Has strong moral character,Strongly support,Just today,45-65,60+,45+,60+,50-64,Independent/Something else,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,A factor,Not important,Support,Last few days,In the last month,All others,Has strong moral character,Yes,State questionnaire,Rural,Small Cities/Rural,3.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Upscale,50072.0
20095.0, Iowa,112.0,Call 3,Complete,Election day exit poll,1.12334227561951,Michele Bachmann,Male,White,50-59,Republican,"$50,000-$99,999",College graduate,Working in business,A minor factor,No,I like my candidate but with reservations,Federal budget deficit,Has strong moral character,Somewhat support,Just today,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,A factor,Not important,Support,Last few days,In the last month,All others,Has strong moral character,Yes,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,Midwest,Version 1,Suburb,Urban,Urban Core,Upscale,51106.0
20042.0, Iowa,85.0,Call 3,Complete,Election day exit poll,1.49267280101776,Michele Bachmann,Female,White,65 or over,Republican,"$50,000-$99,999",College graduate,Working in business,One of several important factors,Yes,I strongly favor my candidate,Federal budget deficit,Is a true conservative,Strongly support,In the last few days,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,A factor,Important,Support,Last few days,In the last month,White Born-again/Evangelical Christians,Is a true conservative,Yes,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,50266.0
