ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,MSRPRS12,SEX,QRACE3,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,SATGING,SATPAUL,SATROMN,SATSANT,SHAREREL,TEAPARTY,TIMEST12,UNDERREP12,WORK,SEXWED,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WRKWOMEN,XQLTREP12,GOVTANGR,GOVTANG2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
268479.0, Mississippi,6.0,Call 1,Complete,Election day exit poll,1.68808221817017,Rick Santorum,Male,White,50-59,Somewhat conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,,Gingrich,One of several important factors,Yes,,,,,,The economy,Yes,Is a true conservative,Satisfied,Dissatisfied,Dissatisfied,Satisfied,,Somewhat support,Earlier this year,,,Married men,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,,A factor,Important,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,Is a true conservative,,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale,38865.0
268482.0, Mississippi,114.0,Call 1,Complete,Election day exit poll,1.15148568153381,Mitt Romney,Female,White,50-59,Very conservative,Democrat,"$50,000-$99,999",Some college/assoc. degree,,Romney,One of several important factors,Yes,,,,,,Abortion,Yes,Has strong moral character,Dissatisfied,Satisfied,Satisfied,Satisfied,,Strongly support,In the last few weeks,,,Married women,45-65,30-59,45+,45-59,50-64,Democrat,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,A factor,Important,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,Has strong moral character,,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,39669.0
268491.0, Mississippi,114.0,Call 1,Complete,Election day exit poll,1.03130888938904,Rick Santorum,Female,White,30-39,Very conservative,Republican,"$50,000-$99,999",College graduate,,Santorum,One of several important factors,Yes,,,,,,The economy,Yes,Has strong moral character,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,,Neutral,In the last few weeks,,,Married women,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,A factor,Important,,Neutral,Born-again but not Tea Party supporter,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,Has strong moral character,,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,39669.0
268492.0, Mississippi,6.0,Call 1,Complete,Election day exit poll,1.74977350234985,Rick Santorum,Female,White,65 or over,Very conservative,Democrat,"$30,000-$49,999",Some college/assoc. degree,,Romney,One of several important factors,Yes,,,,,,The economy,Yes,Is a true conservative,Satisfied,Dissatisfied,Dissatisfied,Satisfied,,Strongly support,Just today,,,Married women,65+,60+,45+,60+,65+,Democrat,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,A factor,Important,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,Yes,White Born-again/Evangelical Christians,,Is a true conservative,,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale,38865.0
268495.0, Mississippi,26.0,Call 1,Complete,Election day exit poll,1.1342853307724,Rick Santorum,Female,White,25-29,Somewhat conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,Illegal in all cases,,,Yes,I strongly favor my candidate,Not conservative enough,Not conservative enough,Not conservative enough,About right,,,,,,,,Somewhat,Strongly support,,Santorum,Yes,,17-29,17-29,17-44,17-29,25-29,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Working women,,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,39647.0
268496.0, Mississippi,88.0,Call 1,Complete,Election day exit poll,1.04739785194397,Rick Santorum,Female,White,40-44,Very conservative,Republican,,College graduate,Illegal in all cases,,,,I like my candidate but with reservations,Not conservative enough,Omit,Not conservative enough,Not conservative enough,,,,,,,,A great deal,Strongly support,,Santorum,No,,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Very conservative,Very conservative,,,,College graduate,More than High school graduate,Illegal,,,,A great deal or somewhat,Support,,,,No,,All others,,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,39047.0
268497.0, Mississippi,114.0,Call 1,Complete,Election day exit poll,1.04301059246063,Rick Santorum,Male,White,65 or over,Very conservative,Independent,"$30,000-$49,999",Postgraduate study,Illegal in most cases,,,Yes,I like my candidate but with reservations,About right,Too conservative,Not conservative enough,Not conservative enough,,,,,,,,A great deal,Strongly support,,Gingrich,No,,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,All others,,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,39669.0
268502.0, Mississippi,1.0,Call 1,Complete,Election day exit poll,1.24747586250305,Newt Gingrich,Female,White,45-49,Somewhat conservative,Something else,"$100,000-$199,999",Some college/assoc. degree,Legal in most cases,,,No,I like my candidate but with reservations,About right,Too conservative,Not conservative enough,Too conservative,,,,,,,,Not at all,Strongly support,,Gingrich,Yes,,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Legal,Not born again,,,Not much or not at all,Support,Tea Party supporter and not born-again,,,No,All others,Working women,,Angry,"Dissatisifed, but not angry or angry",State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Upscale,39120.0
268503.0, Mississippi,6.0,Call 1,Complete,Election day exit poll,1.74977350234985,Rick Santorum,Female,White,60-64,Moderate,Democrat,"$30,000-$49,999",High school or less,Illegal in most cases,,,Yes,Omit,Omit,About right,Omit,About right,,,,,,,,Not much,Neutral,,Paul,No,,45-65,60+,45+,60+,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,Not much or not at all,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,All others,,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale,38865.0
268506.0, Mississippi,88.0,Call 1,Complete,Election day exit poll,1.16612410545349,Newt Gingrich,Male,White,65 or over,Very conservative,Republican,"$50,000-$99,999",College graduate,Illegal in most cases,,,Yes,I strongly favor my candidate,About right,Too conservative,Not conservative enough,Not conservative enough,,,,,,,,Somewhat,Strongly support,,Gingrich,No,,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,All others,,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,39047.0
