ID,SENNC14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BORNINNC14,BRNAGAIN,CALL,CDNUM,CHILD12,CONTACTHAGAN,CONTACTNC14,CONTACTTILLIS,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HAGANTOOCLOSE,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARCHILD,MARRIED,MINWAGE14,MOVETONC14,MOVETONC10YR,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TILLISCNSRV,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNFAIRHAGAN,UNFAIRNC14,UNFAIRTILLIS,VERSION,VETVOTER,VOTERID14,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
89076.0,Kay Hagan,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Once a week,Weekly,Complete,Moved to North Carolina,Yes,Call 3,9.0,No,No,Neither of them,No,Postgraduate study,College graduate,More than High school graduate,White college degree,,,To express support for Barack Obama,3.0,,,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Health care,No,All others,Yes,,10+ years but not born here,More than 10 years,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,56.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,No,Male,White men,Married men,Suburbs,Suburbs, North Carolina,Election day exit poll,,,,,,,,,,Version 2,,No,0.65615302324295,No,White Born-again/Evangelical Christians,28078.0
93123.0,Kay Hagan,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,Complete,,,Call 3,2.0,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,2.0,Government should do more to solve problems,About the right amount,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Omit,,No,,,Favor,,,Not worried,Not too worried,Approve,Strongly approve,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,101.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,,,South,,Female,White women,,Suburbs,Suburbs, North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,Kay Hagan did not,Only Thom Tillis,Thom Tillis did,Version 1,No,,1.1989768743515,No,,27511.0
93122.0,Kay Hagan,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,Complete,,,Call 3,2.0,,,,,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,,2.0,Government should do more to solve problems,About the right amount,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Omit,,No,,,Favor,,,Not worried,Not too worried,Approve,Strongly approve,,,18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,101.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,,,South,,Female,White women,,Suburbs,Suburbs, North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,Kay Hagan did not,Only Thom Tillis,Thom Tillis did,Version 1,No,,1.1989768743515,No,,27511.0
52629.0,Kay Hagan,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,Complete,Born in North Carolina,Yes,Call 1,13.0,No,No,Neither of them,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Barack Obama was not a factor,1.0,,,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,No,All others,Yes,,I was born in North Carolina,More than 10 years,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,113.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,No,Female,White women,Married women,Rural,Small Cities/Rural, North Carolina,Election day exit poll,,,,,,,,,,Version 2,,No,0.912646174430847,No,White Born-again/Evangelical Christians,27822.0
9432.0,Kay Hagan,,,,,,,,,,Omit,Omit,Complete,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National questionnaire,,,,,South,,Female,,,Suburbs,Suburbs, North Carolina,Telephone survey,,,,,,,,,,Version 3,,,0.529077708721161,,,27891.0
90207.0,Kay Hagan,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,,,Not complete,,,Call 3,12.0,,,,,,,,,,,,4.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,,,,No,,,,,,,,,,,,45+,18-64,,,,,,,,,24.0,,,Black,Black,National questionnaire,Black,Black,,,South,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,,,,,,Seriously off on the wrong track,,,,Version 4,,,0.632568061351776,,,27101.0
1627.0,Kay Hagan,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,,,Complete,,,,,,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,,3.0,Government should do more to solve problems,About the right amount,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Approve,,No,,,Favor,,,Not worried,Not too worried,Approve,Strongly approve,,,45+,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black,,,South,,Female,Black women,,"Cities over 500,000","Cities over 50,000", North Carolina,Telephone survey,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,Kay Hagan did,Both of them,Thom Tillis did,Version 1,No,,1.21086943149567,No,,28216.0
52622.0,Kay Hagan,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,Complete,,,Call 1,13.0,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable,,2.0,Government should do more to solve problems,About the right amount,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve,,No,,,Favor,,,Worried,Somewhat worried,Approve,Somewhat approve,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,95.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,,,South,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,Kay Hagan did,Both of them,Thom Tillis did,Version 1,No,,0.71553897857666,No,,27603.0
72864.0,Kay Hagan,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,,,Complete,,,Call 2,7.0,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,,1.0,Government should do more to solve problems,Not often enough,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Approve,,No,,,Favor,,,Not worried,Not too worried,Approve,Strongly approve,,,18-44,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,83.0,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black,,,South,,Male,Black men,,Rural,Small Cities/Rural, North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,Kay Hagan did not,Neither of them,Thom Tillis did not,Version 1,No,,0.670156180858612,No,,28371.0
72863.0,Kay Hagan,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,,,Complete,,,Call 2,7.0,,,,,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,,1.0,Government should do more to solve problems,Not often enough,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Approve,,No,,,Favor,,,Not worried,Not too worried,Approve,Strongly approve,,,18-44,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,83.0,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black,,,South,,Male,Black men,,Rural,Small Cities/Rural, North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,Kay Hagan did not,Neither of them,Thom Tillis did not,Version 1,No,,0.670156180858612,No,,28371.0
10090.0,Kay Hagan,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,,,Complete,,,,9.0,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,3.0,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Approve,The economy,No,,,,,,Not worried,Not too worried,Approve,Strongly approve,,,18-44,18-64,,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,,,South,,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Telephone survey,,,,,,,,,,Version 1,No,,3.66136121749878,No,,28054.0
