id,sennc14,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,attend,attend2,backside,borninnc,brnagain,call,cdnum,child12,contacth,contactn,contactt,educ10,educcoll,educhs,educwhit,favdem2,favrep2,forobama,geocode,govtdo10,hagantoo,healthca,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,isis14,issue14,latino,marchild,married,minwage1,movetonc,moveto_1,necworr2,necworry,obama2,obama4,obamaang,obamaa_1,over45,over65,parents,party,partybla,partybyr,partyid,partysex,partywhi,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,rcongang,rconga_1,region,samesexm,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,telepoll,tilliscn,time14fe,time14mt,time14wk,timesen1,track,unfairha,unfairnc,unfairti,version,vetvoter,voterid1,weight,whnclinc,whtevang
89076,Kay Hagan,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Once a week,Weekly,Complete,Moved to North Carolina,Yes,Call 3,9,No,No,Neither of them,No,Postgraduate study,College graduate,More than High school graduate,White college degree, , ,To express support for Barack Obama,3, , ,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Health care,No,All others,Yes, ,10+ years but not born here,More than 10 years, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,56,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,No,Male,White men,Married men,Suburbs,Suburbs, North Carolina,Election day exit poll, , , , , , , , , ,Version 2, ,No,.65615302324295,No,White Born-again/Evangelical Christians
93123,Kay Hagan,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29, , ,Complete, , ,Call 3,2, , , , ,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable, ,2,Government should do more to solve problems,About the right amount, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Omit, ,No, , ,Favor, , ,Not worried,Not too worried,Approve,Strongly approve, , ,18-44,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,101,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White, , ,South, ,Female,White women, ,Suburbs,Suburbs, North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,No,Only Thom Tillis,Yes,Version 1,No, ,1.1989768743515,No, 
93122,Kay Hagan,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29, , ,Complete, , ,Call 3,2, , , , ,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable, ,2,Government should do more to solve problems,About the right amount, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Omit, ,No, , ,Favor, , ,Not worried,Not too worried,Approve,Strongly approve, , ,18-44,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,101,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White, , ,South, ,Female,White women, ,Suburbs,Suburbs, North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,No,Only Thom Tillis,Yes,Version 1,No, ,1.1989768743515,No, 
52629,Kay Hagan,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,Complete,Born in North Carolina,Yes,Call 1,13,No,No,Neither of them,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , ,Barack Obama was not a factor,1, , ,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,The economy,No,All others,Yes, ,I was born in North Carolina,More than 10 years, , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,113,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,No,Female,White women,Married women,Rural,Small Cities/Rural, North Carolina,Election day exit poll, , , , , , , , , ,Version 2, ,No,.912646174430847,No,White Born-again/Evangelical Christians
9432,Kay Hagan, , , , , , , , , ,Omit,Omit,Complete, , , ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,National questionnaire, , , , ,South, ,Female, , ,Suburbs,Suburbs, North Carolina,Telephone survey, , , , , , , , , ,Version 3, , ,.529077708721161, , 
90207,Kay Hagan,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64, , ,Not complete, , ,Call 3,12, , , , , , , , , , , ,4,Government is doing too many things better left to businesses and individuals, , , , , , , , , , , ,No, , , , , , , , , , , ,45+,18-64, , , , , , , , ,24, , ,Black,Black,National questionnaire,Black,Black, , ,South, ,Male,Black men, ,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll, , , , , ,Seriously off on the wrong track, , , ,Version 4, , ,.632568061351776, , 
1627,Kay Hagan,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64, , ,Complete, , , , , , , , ,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable, ,3,Government should do more to solve problems,About the right amount, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Approve, ,No, , ,Favor, , ,Not worried,Not too worried,Approve,Strongly approve, , ,45+,18-64, ,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal, ,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black, , ,South, ,Female,Black women, ,"Cities over 500,000","Cities over 50,000", North Carolina,Telephone survey,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,Yes,Both of them,Yes,Version 1,No, ,1.21086943149567,No, 
52622,Kay Hagan,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44, , ,Complete, , ,Call 1,13, , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Unfavorable, ,2,Government should do more to solve problems,About the right amount, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve, ,No, , ,Favor, , ,Worried,Somewhat worried,Approve,Somewhat approve, , ,18-44,18-64, ,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,95,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White, , ,South, ,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,Yes,Both of them,Yes,Version 1,No, ,.71553897857666,No, 
72864,Kay Hagan,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44, , ,Complete, , ,Call 2,7, , , , ,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable, ,1,Government should do more to solve problems,Not often enough, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Approve, ,No, , ,Favor, , ,Not worried,Not too worried,Approve,Strongly approve, , ,18-44,18-64, ,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,83,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black, , ,South, ,Male,Black men, ,Rural,Small Cities/Rural, North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,No,Neither of them,No,Version 1,No, ,.670156180858612,No, 
72863,Kay Hagan,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44, , ,Complete, , ,Call 2,7, , , , ,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable, ,1,Government should do more to solve problems,Not often enough, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Approve, ,No, , ,Favor, , ,Not worried,Not too worried,Approve,Strongly approve, , ,18-44,18-64, ,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,83,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black, , ,South, ,Male,Black men, ,Rural,Small Cities/Rural, North Carolina,Election day exit poll,Too conservative,Before that,Before that,Before that,Before that,Generally going in the right direction,No,Neither of them,No,Version 1,No, ,.670156180858612,No, 
