ID,SENWV14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BRNAGAIN,CALL,CDNUM,CLIMATECHANGE,COALHH,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ENVIROREGWV,EPAWV14,FAVDEM2,FAVREP2,FOROBAMAS,FRACKING,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,STECWV,STECWV2,TELEPOLL,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNIONHH12,VERSION,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
72756.0,Natalie Tennant,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 2,2.0,Yes,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,Unfavorable,Favorable,To express opposition to Barack Obama,Oppose,2.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,No,,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,98.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,,,East,,Female,White women,,Rural,Small Cities/Rural,West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,In the last month,In the last week,In the last week,Seriously off on the wrong track,,Version 1,0.671911299228668,No,,26241.0
72748.0,Natalie Tennant,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 2,1.0,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,3.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve,The economy,No,,Worried,Very worried,Approve,Strongly approve,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,29.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,,,East,,Male,White men,,Rural,Small Cities/Rural,West Virginia,,,Election day exit poll,,,,,,,Version 1,0.652685165405273,No,,26431.0
88938.0,Natalie Tennant,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 3,3.0,No,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Unfavorable,Unfavorable,Barack Obama was not a factor,Favor,4.0,Government is doing too many things better left to businesses and individuals,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve,,No,,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,81.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,,,East,,Male,White men,,Rural,Small Cities/Rural,West Virginia,Not so good,Not so good or Poor,Election day exit poll,In the last three days,In the last month,In the last week,In the last three days,Seriously off on the wrong track,,Version 1,0.999266028404236,No,,26651.0
72730.0,Natalie Tennant,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,Complete,No,Call 2,2.0,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,2.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,,,,,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,99.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,,,East,,Female,White women,,Rural,Small Cities/Rural,West Virginia,,,Election day exit poll,,,,,,,Version 5,0.920767307281494,Yes,All others,26241.0
72720.0,Natalie Tennant,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 1,3.0,Yes,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Favorable,Unfavorable,To express opposition to Barack Obama,Oppose,2.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,,No,,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,72.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Female,White women,,Rural,Small Cities/Rural,West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,Version 1,1.24303591251373,Yes,,24740.0
92950.0,Natalie Tennant,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,Call 3,2.0,Yes,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Favorable,Unfavorable,To express support for Barack Obama,Oppose,4.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,,No,,Worried,Somewhat worried,Approve,Somewhat approve,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,42.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,,,East,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",West Virginia,Good,Excellent or Good,Election day exit poll,Before that,Before that,Before that,Before that,Generally going in the right direction,,Version 1,1.26318287849426,Yes,,25304.0
72693.0,Natalie Tennant,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,Call 2,2.0,No,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Favorable,Unfavorable,To express support for Barack Obama,Favor,4.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,No,,Worried,Somewhat worried,Approve,Somewhat approve,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,42.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,Before that,Before that,Before that,Generally going in the right direction,,Version 1,1.28200399875641,No,,25304.0
72677.0,Natalie Tennant,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,Call 2,1.0,Yes,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Favorable,Unfavorable,Barack Obama was not a factor,Favor,1.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,,No,,Worried,Very worried,Approve,Somewhat approve,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,108.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Male,White men,,Rural,Small Cities/Rural,West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,Version 1,0.827235162258148,Yes,,26155.0
72669.0,Natalie Tennant,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,Call 2,3.0,No,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Unfavorable,Unfavorable,Barack Obama was not a factor,Favor,2.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,,No,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate,17.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,,,East,,Male,White men,,Rural,Small Cities/Rural,West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,Version 1,0.882250189781189,Yes,,24901.0
72664.0,Natalie Tennant,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 2,1.0,Yes,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,Favorable,Favorable,Barack Obama was not a factor,Favor,3.0,Government is doing too many things better left to businesses and individuals,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve,,No,,Not worried,Not too worried,Disapprove,Somewhat disapprove,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,111.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,,,East,,Male,White men,,Suburbs,Suburbs,West Virginia,Good,Excellent or Good,Election day exit poll,Before that,Before that,Before that,Before that,Generally going in the right direction,,Version 1,0.662283480167389,No,,26187.0
72652.0,Natalie Tennant,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 2,2.0,Yes,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,Favorable,Unfavorable,Barack Obama was not a factor,Oppose,4.0,Government should do more to solve problems,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Omit,,No,,Worried,Somewhat worried,Approve,Strongly approve,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,45.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Female,White women,,Suburbs,Suburbs,West Virginia,Good,Excellent or Good,Election day exit poll,Before that,Before that,Before that,Before that,Generally going in the right direction,,Version 1,0.845742464065552,No,,25177.0
72647.0,Natalie Tennant,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,Complete,,Call 2,3.0,Yes,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Omit,Unfavorable,To express opposition to Barack Obama,Oppose,3.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,,No,,Not worried,Not too worried,Approve,Somewhat approve,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,10.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,West Virginia,Excellent,Excellent or Good,Election day exit poll,In the last three days,In the last month,In the last week,In the last three days,Seriously off on the wrong track,,Version 1,0.87626439332962,Yes,,25702.0
