id,sentx14,govtx14,ltgovtx1,abort2,abortion,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,backside,brnagain,call,cdnum,cruzpres,educ10,educcoll,educhs,educwhit,favdem2,favrep2,geocode,govtdo10,healthca,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,latino,married,necworr2,necworry,obama2,obama4,over45,over65,party,partybla,partybyr,partyid,partysex,partywhi,perrypre,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,region,sex,sexbyrac,sexwed,sizeplac,sizeplc3,spanishq,stanum,telepoll,track,version,whnclinc,whtevang,weight
11769,John Cornyn, , ,Illegal,Illegal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No, ,26, ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , ,2, , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No,No, , , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican, ,Conservative, ,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,South,Female,White women,Non married women,Suburbs,Suburbs,English,Texas,Telephone survey, ,Version 3,Yes,All others,1.06855714321136
66898,John Cornyn, , , , ,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Not complete,Yes,Call 1,23, , , , , , , ,6,Omit, , , , , , , , ,No,Yes, , , , ,18-44,18-64, , , , , , , , ,9, , ,White,White,State questionnaire,White,White,South,Female,White women,Married women,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Seriously off on the wrong track,Version 1, ,White Born-again/Evangelical Christians,1.77605056762695
11799, ,Wendy Davis, ,Legal,Legal in all cases,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,No, ,27, ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , ,6, , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Yes,No, , , , ,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Women,Non-White Democrats, ,Moderate, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino,South,Female,Latino women,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Telephone survey, ,Version 3,No,All others,2.25506806373596
11748, ,Wendy Davis, ,Illegal,Illegal in most cases,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,Yes, ,3, ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , ,2, , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",No,No, , , , ,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Men,All others, ,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,Black,Black,National questionnaire,Black,Black,South,Male,Black men,Non married men,Suburbs,Suburbs,English,Texas,Telephone survey, ,Version 3,No,All others,2.06745672225952
63589, ,Wendy Davis, ,Omit,Omit,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,No,Call 1,35,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Omit,4,Omit,Was about right, , , , , , , ,No,No,Omit,Omit,Approve,Strongly approve,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,No, ,111, , ,White,White,State questionnaire,White,White,South,Female,White women,Non married women,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Generally going in the right direction,Version 1,No,All others,1.69036900997162
2183, ,Wendy Davis, ,Legal,Legal in all cases,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No, , ,Omit,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,4,Omit,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Yes,Not worried,Not too worried,Approve,Somewhat approve,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,No,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,South,Female,White women,Married women,"Cities over 500,000","Cities over 50,000", ,Texas,Telephone survey,Generally going in the right direction,Version 1,No,All others,3.00083637237549
2094, ,Wendy Davis, ,Legal,Legal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Yes, ,26,No,College graduate,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,2,Government should do more to solve problems,Went too far,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",No,Yes,Not worried,Not too worried,Approve,Somewhat approve,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,No,Moderate, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Black,South,Male,Black men,Married men,Suburbs,Suburbs,English,Texas,Telephone survey,Generally going in the right direction,Version 1,No,All others,.536459028720856
1980, ,Wendy Davis, ,Legal,Legal in all cases,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others,Complete, , ,34,Omit,College graduate,College graduate,More than High school graduate,Non white college degree,Omit,Omit,6,Government should do more to solve problems,Omit, , , , , , , ,No,Yes,Not worried,Not too worried,Approve,Strongly approve,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,Independent Women,All others,No,Liberal, ,Moderate/Liberal Republicans,Liberal Independents,Other,Other,State questionnaire,Other,Other,South,Female,All other races,Married women,Rural,Small Cities/Rural,English,Texas,Telephone survey,Omit,Version 1,No,All others,1.71417725086212
64454, ,Wendy Davis, ,Legal,Legal in all cases,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,No,Call 1,35,No,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Unfavorable,Unfavorable,4,Government is doing too many things better left to businesses and individuals,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Yes,No,Worried,Very worried,Approve,Strongly approve,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Something else,Independent Women,All others,No,Liberal,111,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,South,Female,Latino women,Non married women,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Generally going in the right direction,Version 1,No,All others,1.69036900997162
8920, ,Wendy Davis, , , ,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete, , ,28, ,Postgraduate study,College graduate,More than High school graduate,Non white college degree, , ,6, ,Did not go far enough,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Yes,No, , , , ,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Men,Non-White Democrats, ,Liberal, ,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino,South,Male,Latino men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Telephone survey, ,Version 2,No, ,1.09059631824493
