id,govoh14,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,backside,call,cdnum,econ4yea,educ10,educcoll,educhs,educwhit,favdem2,favpubli,favrep2,geocode,govtdo10,healthca,hillvrep,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,kasichhe,latino,married,necworr2,necworry,obama2,obama4,over45,over65,party,partybla,partybyr,partyid,partysex,partywhi,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,region,samesexm,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,telepoll,track,unionhh1,version,weight,whnclinc
1230,Edward FitzGerald,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,12,Worse today,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Unfavorable,4,Government should do more to solve problems,Did not go far enough,Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,No,Yes,Worried,Somewhat worried,Approve,Strongly approve,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal, ,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,Married men,Suburbs,Suburbs,Ohio,Telephone survey,Generally going in the right direction,No,Version 1,1.30710411071777,No
52607,Edward FitzGerald,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,16,Better today,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Unfavorable,2,Government should do more to solve problems,Did not go far enough,Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Approve,No,Yes,Not worried,Not too worried,Approve,Somewhat approve,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,158,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Married women,Rural,Small Cities/Rural,Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,.457282245159149,No
72846,Edward FitzGerald,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 2,9,Worse today,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,Favorable,2,Government should do more to solve problems,Was about right,Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Omit,No,No,Not worried,Not too worried,Disapprove,Somewhat disapprove,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,93,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,.998944222927094,Yes
52587,Edward FitzGerald,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 1,3,Worse today,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Favorable,4,Government is doing too many things better left to businesses and individuals,Went too far,Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,No,No,Worried,Very worried,Disapprove,Strongly disapprove,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,61,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,Midwest,No,Female,White women,Non married women,Suburbs,Suburbs,Ohio,Election day exit poll,Seriously off on the wrong track,Yes,Version 1,.730136394500732,No
52586,Edward FitzGerald,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 1,3,Worse today,Postgraduate study,College graduate,More than High school graduate,White college degree,Favorable,Favorable,Favorable,4,Government is doing too many things better left to businesses and individuals,Went too far,Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,No,No,Worried,Very worried,Disapprove,Strongly disapprove,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,61,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,Midwest,No,Female,White women,Non married women,Suburbs,Suburbs,Ohio,Election day exit poll,Seriously off on the wrong track,Yes,Version 1,.730136394500732,No
72817,Edward FitzGerald,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,10,Worse today,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Unfavorable,Unfavorable,5,Government is doing too many things better left to businesses and individuals,Went too far,It depends,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove,No,No,Worried,Very worried,Disapprove,Strongly disapprove,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Men,White Independent,Moderate,117,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Midwest,No,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Seriously off on the wrong track,No,Version 1,.477991491556168,Yes
88619,Edward FitzGerald,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Call 3,1, ,Postgraduate study,College graduate,More than High school graduate,Non white college degree, , , ,5, , , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", ,No, ,Worried,Somewhat worried,Approve,Strongly approve,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,73,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,Midwest, ,Female,Black women, ,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll, , ,Version 1,.34538397192955,No
52546,Edward FitzGerald,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,5, ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , ,2, , , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,No, ,Worried,Very worried,Approve,Somewhat approve,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,97,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,Midwest, ,Female,White women, ,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll, , ,Version 1,.544383585453033,No
52531,Edward FitzGerald,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Call 1,16,Better today,High school graduate,No college degree,High school graduate or less,Non white no college degree,Favorable,Unfavorable,Unfavorable,2,Government should do more to solve problems,Did not go far enough,Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Approve,Yes,Yes,Not worried,Not too worried,Approve,Strongly approve,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,158,Liberal Democrats,Liberal Democrats,Other,White,State questionnaire,Hispanic/Latino,Hispanic/Latino,Midwest,Yes,Female,Latino women,Married women,Rural,Small Cities/Rural,Ohio,Election day exit poll,Generally going in the right direction,No,Version 1,.457282245159149,No
72774,Edward FitzGerald,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,9,Worse today,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,Favorable,2,Government is doing too many things better left to businesses and individuals,Did not go far enough,It depends,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Omit,No,Yes,Worried,Very worried,Disapprove,Somewhat disapprove,45+,18-64, , , , , , ,Conservative,93, , ,White,White,State questionnaire,White,White,Midwest,Omit,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Seriously off on the wrong track,No,Version 1,.729705691337585,Yes
