ID,GOVCA14,HOUCA14,ABORT2,ABORTION,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAK14,BREAK14B,BRNAGAIN,CALL,CDNUM,CELLPHONE,CELLULAR,CHILD12,CHRISTIEPRES,CLIMATECHANGE,CONGRESS,CONGRESS4,EBOLA14,ECONBETT,ECONDIR,ECONFAIR,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FINSIT2,FOLLOW14,FOLLOW14B,FOROBAMAH,GAY,GEOCODE,GOVTDO10,HCLINPRES,HEALTHCARE14,HILLVREP,IMMDEPORT,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,JBUSHPRES,LANDPHONE,LATINO,LIFE,MARCHILD,MARIJUANALAW,MARRIED,NEC,NEC2,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PAULPRES,PERRYPRES,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RACEREL14,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TERRWORR,TERWORR2,TRACK,TRUSTGOV,TRUSTGOVB,UNIONHH12,VERSION,VETVOTER,WEIGHT,WHITEREL,WHNCLINC,WHTEVANG,WORK,WORKPARENT,WORKSEX,WPROTBRN,WPROTBRN3,WRKWOMEN,WRKWOMEN4,ZIPCODE
67703.0,Jerry Brown,,Legal,Legal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a month,Occasionally,All others,Complete,,,Yes,Call 1,26.0,,,No,,,,,,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Better,,,,,1.0,,,,It depends,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,No,,All others,,Yes,,,,,,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Moderate,114.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,,,West,,,,,Male,White men,Married men,Suburbs,Suburbs,English,California,,,,Election day exit poll,,,,Omit,Omit,,Version 3,,1.10590398311615,,Yes,White Born-again/Evangelical Christians,,,,,,,,91361.0
100989.0,Jerry Brown,,,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,Call 3,18.0,,,,,,,,,Getting worse,Worse,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,Barack Obama was not a factor,,3.0,,,Did not go far enough,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Health care,,,No,,,,No,Not so good,Not so good or poor,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Moderate,93.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,Angry,"Dissatisfied, but not angry or angry",West,,,,,Female,White women,Non married women,Suburbs,Suburbs,English,California,,,,Election day exit poll,,,,,,,Version 2,,1.22156071662903,,No,,Yes,,Working women,,,Working women,Working women,94061.0
100988.0,Jerry Brown,,,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,Call 3,18.0,,,,,,,,,Getting worse,Worse,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,Barack Obama was not a factor,,3.0,,,Did not go far enough,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Health care,,,No,,,,No,Not so good,Not so good or poor,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,,Moderate,93.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,Angry,"Dissatisfied, but not angry or angry",West,,,,,Female,White women,Non married women,Suburbs,Suburbs,English,California,,,,Election day exit poll,,,,,,,Version 2,,1.22156071662903,,No,,Yes,,Working women,,,Working women,Working women,94061.0
100882.0,Jerry Brown,,,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,,Complete,,,,Call 3,30.0,,,,,,,,,Getting better,Getting better,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,Barack Obama was not a factor,,4.0,,,Did not go far enough,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,,,No,,,,Yes,Not so good,Not so good or poor,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Liberal,26.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,,Angry,"Dissatisfied, but not angry or angry",West,,,,,Male,White men,Married men,Suburbs,Suburbs,English,California,,,,Election day exit poll,,,,,,,Version 2,,0.473998218774796,,No,,Yes,,Working men,,,All others,Working men,91325.0
9596.0,Jerry Brown,,,,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,,,,Complete,,,No,,24.0,Yes,Both regular land-line and cell phone service,,No,,,,Approve,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,Somewhat closely,Somewhat or not too closely,,No,1.0,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Women,Non-White Democrats,No,No,Liberal,,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino,,,,West,Catholic,Catholic,,,Female,Latino women,,Suburbs,Suburbs,English,California,Neither,Strongly oppose,Oppose,Telephone survey,,,,,,,Version 5,,1.57638037204742,Non-white,No,All others,,,,No,,,,93065.0
67824.0,Jerry Brown,,Legal,Legal in all cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,All others,Complete,,,No,Call 1,17.0,,,No,,,,,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,About the same,,,,,3.0,,,,It depends,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,,,No,,All others,,Yes,,,,,,,,,45+,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,,,Liberal,104.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,,,,West,Something else,Other,Something else,,Male,White men,Married men,Suburbs,Suburbs,English,California,,,,Election day exit poll,,,,Only some of the time,Only some of the time or never,Yes,Version 3,,1.54229867458344,White something else,No,All others,,,,No,All others,,,95014.0
11105.0,Jerry Brown,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,,41.0,,,,,,,,,Getting better,Getting better,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,Barack Obama was not a factor,,5.0,,,Went too far,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,The economy,,,No,,,,No,Not so good,Not so good or poor,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,,,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",West,,,,,Female,White women,Non married women,Suburbs,Suburbs,English,California,,,,Telephone survey,,,,,,,Version 2,,0.96708208322525,,No,,No,,Non-working women,,,All others,Non-working women,92223.0
67775.0,Jerry Brown,,Legal,Legal in all cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,A few times a year,Occasionally,All others,Complete,,,,Call 1,17.0,,,No,,,,,,,,,College graduate,College graduate,More than High school graduate,White college degree,,,Better,,,,,3.0,,,,Omit,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,,No,,All others,,No,,,,,,,,,45+,18-64,Men without children,,,,,,,,,Moderate,104.0,,,White,White,National questionnaire,White,White,,,,West,,,,,Male,White men,Non married men,Suburbs,Suburbs,English,California,,,,Election day exit poll,,,,Only some of the time,Only some of the time or never,No,Version 3,,1.52023911476135,,No,All others,,,,,,,,95014.0
11035.0,Jerry Brown,,,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Complete,,,,,10.0,,,,,Yes,,,,,,Favors the wealthy,College graduate,College graduate,More than High school graduate,White college degree,Omit,Omit,,,,,,3.0,Government should do more to solve problems,,,,Omit,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,,No,Omit,,Omit,,,,,,,,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,Stayed about the same,,,West,,,,Yes,Female,White women,,Suburbs,Suburbs,English,California,,,,Telephone survey,,,Generally going in the right direction,,,,Version 4,,1.32898187637329,,No,,,,,,,,,94564.0
11033.0,Jerry Brown,,,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,All others,All others,,,,Complete,,,,,13.0,,,,,Yes,,,,,,Favors the wealthy,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Favorable,Unfavorable,,,,,,3.0,Government should do more to solve problems,,,,Omit,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",,,,,No,Worse than life today,,Legal,,,,,,,,,,45+,18-64,,Democrat,Non-black Democrat,All Other,Democrat,Democratic Women,Non-White Democrats,,,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Asian,National questionnaire,Asian,Asian,Stayed about the same,,,West,,,,Yes,Female,All other races,,"Cities 50,000-500,000","Cities over 50,000",English,California,,,,Telephone survey,,,Seriously off on the wrong track,,,,Version 4,,8.68391799926758,,No,,,,,,,,,94545.0
