ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONMONUMENTS,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVREP2,FORTRUMPG,GEOCODE,GOVVA17,GUNOWNER12,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME17,INCWHITE,ISSUE17VA,LATINO,MARRIED,MCAULIFFEAPP,MCAULIFFEAPP2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACEREL17VA,RACERELGILLESPIE,RACERELNORTHAM,REGION,SEX,SEXBYRACE,SEXWED,STANUM,STECONBETVA,SUBURBWHITE,TELEPOLL,TIME17,TIME17MONTH,TIME17WEEK,TRUMP2,TRUMP4,VERSION,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
222473.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,Call 1,5.0,Left in place,College graduate,College graduate,More than High school graduate,White college degree,White men college graduates,Favorable,Unfavorable,To express opposition to Donald Trump,5.0,Ralph Northam,Yes,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Health care,No,Yes,Somewhat disapprove,Strongly or somewhat disapprove,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Liberal,61.0,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,White,Only Ralph Northam,Only Ralph Northam or neither of them,Only Ralph Northam or both of them,South,Male,White men,Married men, Virginia,Staying about the same,,Election day exit poll,In October,In the last few days/In the last week/In October,Before that,Strongly or Somewhat disapprove,Strongly disapprove,Version 3,0.501688420772552,No,All others,22949.0
222474.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,5.0,Left in place,High school or less,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,Favorable,Donald Trump was not a factor,5.0,Ed Gillespie,Yes,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Abortion,No,Yes,Somewhat disapprove,Strongly or somewhat disapprove,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Conservative,61.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,Both of them,Only Ed Gillespie or both of them,Only Ralph Northam or both of them,South,Male,White men,Married men, Virginia,Staying about the same,,Election day exit poll,Before that,Before that,Before that,Omit,Omit,Version 3,0.808629631996155,Yes,All others,22949.0
222475.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,All others,Complete,No,Call 1,5.0,Removed,College graduate,College graduate,More than High school graduate,Non white college degree,Non-whites,Favorable,Unfavorable,Donald Trump was not a factor,5.0,Ralph Northam,Yes,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Health care,No,No,Strongly disapprove,Strongly or somewhat disapprove,45+,65+,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,All others,Moderate,61.0,Moderate/Liberal Republicans,Moderate Independents,Other,Other,State questionnaire,Other,Non-white,Other,Neither of them,Only Ralph Northam or neither of them,Only Ed Gillespie or neither of them,South,Female,All other races,Non married women, Virginia,Staying about the same,Other,Election day exit poll,In the last few days,In the last few days/In the last week/In October,In the last few days/In the last week,Strongly or Somewhat disapprove,Strongly disapprove,Version 3,0.480301946401596,No,All others,22949.0
222476.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,Call 1,5.0,Left in place,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Non-whites,Favorable,Unfavorable,To express opposition to Donald Trump,5.0,Ralph Northam,Yes,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Health care,No,Yes,Somewhat approve,Strongly or somewhat approve,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,61.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,Only Ralph Northam,Only Ralph Northam or neither of them,Only Ralph Northam or both of them,South,Male,Black men,Married men, Virginia,Staying about the same,Other,Election day exit poll,Before that,Before that,Before that,Strongly or Somewhat disapprove,Strongly disapprove,Version 3,0.626164376735687,No,All others,22949.0
222477.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,5.0,Left in place,College graduate,College graduate,More than High school graduate,White college degree,White men college graduates,Favorable,Unfavorable,To express opposition to Donald Trump,5.0,Ralph Northam,Yes,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Health care,No,Yes,Somewhat disapprove,Strongly or somewhat disapprove,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,61.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,Only Ralph Northam,Only Ralph Northam or neither of them,Only Ralph Northam or both of them,South,Male,White men,Married men, Virginia,Getting better,,Election day exit poll,Before that,Before that,Before that,Strongly or Somewhat disapprove,Strongly disapprove,Version 3,0.501688420772552,No,All others,22949.0
222478.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,9.0,,College graduate,College graduate,More than High school graduate,White college degree,White women college graduates,,,,5.0,Ralph Northam,,,,,,,,,,No,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,,74.0,,,White,White,State questionnaire,White,White,White,,,,South,Female,White women,, Virginia,,,Election day exit poll,,,,,,Version 2,0.501184642314911,,,24244.0
222479.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 1,9.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,White women college graduates,,,,5.0,Ed Gillespie,,,,,,,,,,No,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,,74.0,,,White,White,State questionnaire,White,White,White,,,,South,Female,White women,, Virginia,,,Election day exit poll,,,,,,Version 2,0.866438567638397,,,24244.0
222480.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,9.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,White men college graduates,,,,5.0,Ralph Northam,,,,,,,,,,No,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,,74.0,,,White,White,State questionnaire,White,White,White,,,,South,Male,White men,, Virginia,,,Election day exit poll,,,,,,Version 2,0.523500919342041,,,24244.0
222482.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 1,11.0,,College graduate,College graduate,More than High school graduate,White college degree,White women college graduates,,,,1.0,Ralph Northam,,,,,,,,,,No,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,,29.0,,,White,White,State questionnaire,White,White,White,,,,South,Female,White women,, Virginia,,,Election day exit poll,,,,,,Version 4,0.878578364849091,,,22031.0
222483.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,9.0,,College graduate,College graduate,More than High school graduate,White college degree,White women college graduates,,,,5.0,Ralph Northam,,,,,,,,,,No,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,,74.0,,,White,White,State questionnaire,White,White,White,,,,South,Female,White women,, Virginia,,,Election day exit poll,,,,,,Version 2,0.501184642314911,,,24244.0
